139;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);
1;B,P(1792);ZTM;Przymorze SKM;0;0;;
2;P(1470);ZTM;Krynicka;2;2;;
3;P(1468);ZTM;Rzeczypospolitej - Ko³obrzeska;2;2;;
4;P(1466);ZTM;Opolska;1;1;;
5;P(1464);ZTM;Olsztyñska;1;1;;
6;P(1462);ZTM;D¹browszczaków - Obroñców Wybrze¿a;1;1;;
7;P(1460);ZTM;D¹browszczaków;1;2;0;
8;P(1458);ZTM;Jagielloñska - Przychodnia;1;1;1;
9;P(1456);ZTM;Czerwony Dwór;1;2;2;
10;P(1454);ZTM;Bora Komorowskiego;1;1;1;
11;P(1740);ZTM;Beniowskiego (n/¿);2;2;2;
12;B,N,K0,P(118);ZTM;Oliwa PKP;1;1;1;
