167;Flagi;Gmina;Nazwa;X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);
1;B,P(162);ZTM;Siedlce;0;0;0;0;0;0;0;0;0;
2;P(1635);ZTM;Emaus;1;2;2;1;1;1;1;1;1;
3;P(1267);ZTM;Zielony Stok;1;1;1;1;1;1;1;1;1;
4;P(1269);ZTM;Pagórkowa;1;1;1;1;1;1;1;1;1;
5;P(1271);ZTM;Myœliwska;1;1;1;1;1;1;1;1;1;
6;P(1273);ZTM;Lipowa;1;1;2;2;2;1;1;1;2;
7;P(1275);ZTM;Damroki;2;2;2;2;2;2;2;2;2;
8;P(1295);ZTM;Pólnicy;0;1;1;1;1;1;1;1;1;
9;P(1277);ZTM;Zwierzyniecka;1;1;1;1;1;1;1;1;1;
10;P(1279);ZTM;Jasieñ - Dzia³ki (n/¿);2;2;2;2;2;2;2;2;2;
11;P(1719);ZTM;¯yczliwa (n/¿);1;1;1;1;1;1;1;1;1;
12;P(1281);ZTM;Wêze³ Karczemki (n/¿);1;1;1;1;1;1;1;1;1;
13;P(1930);ZTM;Szczêœliwa;1;1;1;1;1;1;1;1;1;
14;P(1283);ZTM;Karczemki;3;3;4;4;4;4;3;3;3;
15;P(1285);ZTM;In¿ynierska (n/¿);1;1;2;2;1;1;1;2;2;
16;P(1287);ZTM;Fabryczna;1;1;1;1;1;1;1;1;1;
17;P(1289);ZTM;Transportowców;1;1;1;1;1;1;1;1;1;
18;P(1291);ZTM;Nowatorów;2;2;2;2;2;2;2;2;2;
19;P(1293);ZTM;Kokoszki - Poczta;1;1;1;1;1;1;1;1;1;
20;P(1297);ZTM;Unimor (n/¿);1;1;1;1;1;1;1;1;1;
21;P(1299);ZTM;Centrostal (n/¿);1;1;1;1;1;1;1;1;1;
22;P(1301);ZTM;Instal (n/¿);0;0;0;0;0;0;0;0;0;
23;P(1303);ZTM;Bysewska (n/¿);1;1;1;1;1;1;1;1;1;
24;B,N,K0,P(1659);ZTM;Bysewo;1;1;1;1;1;1;1;1;1;
