N8;Flagi;Gmina;Nazwa;X1(00:00-29:59);
1;B,P(1021);ZTM;Dworzec G³ówny;0;
2;P(1031);ZTM;Brama Wy¿ynna;2;
3;P(1037);ZTM;¯abi Kruk  (n/¿);1;
4;P(1661);ZTM;Akademia Muzyczna (n/¿);2;
5;P(1099);ZTM;Brama ¯u³awska (n/¿);1;
6;P(1601);ZTM;Mostek (n/¿);1;
7;P(1692);ZTM;Budzysza Elmont (n/¿);6;
8;P(1047);ZTM;Kaczeñce - Sienna (n/¿);2;
9;P(1049);ZTM;Zimna (n/¿);1;
10;P(1051);ZTM;Nowotna (n/¿);1;
11;P(1053);ZTM;Sówki (n/¿);1;
12;P(1055);ZTM;Steczka (n/¿);1;
13;P(1057);ZTM;Kêpna (n/¿);1;
14;P(1429);ZTM;Górecka (n/¿);1;
15;P(1059);ZTM;Baza Manipulacyjna (n/¿);1;
16;P(1061);ZTM;£êczycka (n/¿);1;
17;P(1063);ZTM;£owicka (n/¿);1;
18;B,N,K0,P(139);ZTM;Górki Zachodnie;2;
