99;Dni powszednie;#EEEEEE
04:40;X8;;
05:00;X8;;
05:16;X8;;
05:31;X8;;
05:46;X8;;
06:01;X8;;
06:16;X8;;
06:31;X9;;
06:46;X9;;
07:01;X9;;
07:16;X9;;
07:31;X9;;
07:46;X9;;
08:01;X9;;
08:16;X9;;
08:36;X9;;
08:56;X9;;
09:16;X9;;
09:36;X9;;
09:56;X9;;
10:16;X9;;
10:36;X9;;
10:56;X9;;
11:16;X9;;
11:36;X9;;
11:56;X9;;
12:16;X9;;
12:36;X9;;
12:56;X9;;
13:16;X9;;
13:36;X9;;
13:56;X9;;
14:15;X10;;
14:30;X10;;
14:45;X10;;
15:00;X10;;
15:15;X10;;
15:30;X10;;
15:45;X10;;
16:00;X10;;
16:15;X10;;
16:30;X10;;
16:45;X10;;
17:00;X10;;
17:18;X10;;
17:38;X10;;
17:58;X10;;
18:17;X9;;
18:37;X9;;
18:57;X9;;
19:17;X9;;
19:37;X9;;
20:02;X9;;
20:32;X9;;
21:02;X8;;
21:31;X8;;
22:01;X8;;
99;Soboty, niedziele i œwiêta;#FFE4E1
05:31;X8;;
06:01;X8;;
06:31;X8;;
07:01;X8;;
07:31;X8;;
08:01;X8;;
08:31;X8;;
09:01;X9;;
09:31;X9;;
10:01;X9;;
10:31;X9;;
11:01;X9;;
11:31;X9;;
12:01;X9;;
12:31;X9;;
13:01;X9;;
13:31;X9;;
14:01;X9;;
14:31;X9;;
15:01;X9;;
15:31;X9;;
16:01;X9;;
16:31;X9;;
17:01;X9;;
17:31;X9;;
18:01;X9;;
18:31;X9;;
19:01;X9;;
19:31;X9;;
20:01;X9;;
20:31;X9;;
21:01;X8;;
21:31;X8;;
22:01;X8;;
