108;Flagi;Gmina;Nazwa;X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);
1;B,P(1015);ZTM;Dworzec G³ówny;0;0;0;
2;P(1033);ZTM;Brama Wy¿ynna;2;2;2;
3;P(1237);ZTM;Zaroœlak;3;3;4;
4;P(1821);ZTM;Cmentarna (n/¿);1;1;1;
5;P(1239);ZTM;Stoczniowców (n/¿);1;1;1;
6;P(1241);ZTM;Wronki;1;1;1;
7;P(1243);ZTM;Grabowskiego;1;2;2;
8;P(1244);ZTM;Dragana - K³adka;2;2;2;
9;P(1245);ZTM;Dragana - Szko³a;1;1;1;
10;P(1246);ZTM;Cieszyñskiego;1;1;1;
11;B,N,K0,P(167);ZTM;Che³m - Wiêckowskiego;3;3;3;
