108;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);
1;B,P(167);ZTM;Che³m - Wiêckowskiego;0;0;0;0;0;0;0;;
2;P(1704);ZTM;Kopeckiego;2;2;2;2;2;2;2;;
3;P(1780);ZTM;Sikorskiego;2;2;2;2;2;2;2;0;
4;P(130);ZTM;Che³m Cienista;2;2;2;2;2;2;1;1;
5;P(1252);ZTM;Buczka;1;1;1;1;1;1;1;1;
6;P(1240);ZTM;Reformacka;1;1;1;1;1;1;1;1;
7;P(1238);ZTM;Cmentarna (n/¿);1;1;1;1;1;1;1;1;
8;P(1236);ZTM;Zaroœlak;2;3;3;2;1;1;1;1;
9;P(1028);ZTM;Brama Wy¿ynna;3;4;5;4;3;4;3;3;
10;B,N,K0,P(1016);ZTM;Dworzec G³ówny;2;2;2;2;2;2;2;2;
