4;Flagi;Gmina;Nazwa;X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59)
1;B,P(201);ZTM;Jelitkowo;;;0;0;
2;P(2058);ZTM;Helska;;;2;2;
3;P(2056);ZTM;Osiedle Wejhera;;;2;2;
4;P(213),1,I,H;ZTM;Strzy¿a PKM;0;0;;;
5;P(2033),1,I,H;ZTM;Strzy¿a PKM;;;;;0
6;P(2035),1,I,H;ZTM;Uniwersytet;;;;;2
7;P(2037),1,I,H;ZTM;Ba¿yñskiego;;;;;1
8;P(2039),1,I,H;ZTM;Tetmajera;;;;;1
9;P(2041),1,I,H;ZTM;Derdowskiego;;;;;1
10;P(2043),1,I,H;ZTM;Obroñców Westerplatte;;;;;1
11;P(2045),1,I,H;ZTM;Oliwa;;;;;2
12;P(2047),1,I,H;ZTM;Opacka;;;;;2
13;P(2049),1,I,H;ZTM;Subis³awa;;;;;2
14;P(2051),1,I,H;ZTM;Pomorska - Osiedle;;;;;2
15;P(2100);ZTM;Pomorska;;;1;;2
16;P(2098);ZTM;Piastowska;;;1;;1
17;P(2096);ZTM;Jagielloñska;;;2;;2
18;P(2094);ZTM;Ch³opska - Obroñców Wybrze¿a;;;1;;1
19;P(2092);ZTM;Ko³obrzeska;;;1;;1
20;P(2090);ZTM;Zaspa;;;2;;2
21;P(2088);ZTM;Startowa;;;1;;1
22;P(2086);ZTM;Jana Paw³a II;;;1;;1
23;P(2084);ZTM;¯wirki i Wigury;;;1;;1
24;P(2082);ZTM;Bajana;;;1;;1
25;P(2080);ZTM;Legionów;;;2;;2
26;P(2078);ZTM;Plac Komorowskiego;;;1;;1
27;P(2076);ZTM;Mickiewicza;;;2;;2
28;P(2074);ZTM;Reja;;;1;;1
29;P(2072);ZTM;Wyspiañskiego;;;2;;2
30;P(2030),1,I,H;ZTM;Zajezdnia;1;1;;;
31;P(2028),1,I,H;ZTM;Zamenhofa;1;1;;;
32;P(2026),1,I,H;ZTM;Wojska Polskiego;1;1;;;
33;P(2024),1,I,H;ZTM;Galeria Ba³tycka;2;2;;;
34;P(2022),1,I,H;ZTM;Klonowa;1;2;;;
35;P(2020),1,I,H;ZTM;Jaœkowa Dolina;2;2;;;
36;P(2018),1,I,H;ZTM;Miszewskiego;2;2;;;
37;P(2016),1,I,H;ZTM;Politechnika;1;1;;;
38;P(2014);ZTM;Opera Ba³tycka;2;2;3;;3
39;P(2012);ZTM;Traugutta;2;2;2;;2
40;P(2010);ZTM;Uniwersytet Medyczny;1;1;1;;1
41;P(2008);ZTM;Chodowieckiego;1;1;1;;1
42;P(2006);ZTM;Brama Oliwska;1;1;1;;1
43;P(2136);ZTM;Dworzec PKS;2;2;2;;2
44;P(2132);ZTM;Nowe Ogrody;1;1;1;;1
45;P(2139);ZTM;Powstañców Warszawskich;2;2;2;;2
46;P(2141);ZTM;Paska;1;1;1;;1
47;P(2143);ZTM;Ciasna;1;1;1;;1
48;P(2145);ZTM;Zakopiañska;1;1;1;;1
49;P(2147);ZTM;Skrajna;2;2;2;;2
50;B,N,K0,P(205);ZTM;Siedlce;2;2;2;;2
51;P(2054),1,I,H;ZTM;Gospody;;;;1;
52;P(2052),1,I,H;ZTM;Pomorska - Osiedle;;;;1;
53;P(2050),1,I,H;ZTM;Subis³awa;;;;2;
54;P(2048),1,I,H;ZTM;Opacka;;;;2;
55;P(2046),1,I,H;ZTM;Oliwa;;;;2;
56;P(2044),1,I,H;ZTM;Obroñców Westerplatte;;;;1;
57;P(2042),1,I,H;ZTM;Derdowskiego;;;;1;
58;P(2040),1,I,H;ZTM;Tetmajera;;;;1;
59;P(2038),1,I,H;ZTM;Ba¿yñskiego;;;;1;
60;P(2036),1,I,H;ZTM;Uniwersytet;;;;1;
61;B,N,K,P(2034),1,I,H;ZTM;Strzy¿a PKM;;;;2;
