212;Flagi;Gmina;Nazwa;X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);
1;B,P(1017);ZTM;Dworzec G³ówny;0;0;0;0;
2;P(1031);ZTM;Brama Wy¿ynna;2;2;3;2;
3;P(1037);ZTM;¯abi Kruk;1;1;2;2;
4;P(1661);ZTM;Akademia Muzyczna;2;2;2;2;
5;P(1099);ZTM;Brama ¯u³awska;1;1;1;1;
6;P(1105);ZTM;B³onia;3;3;3;3;
7;P(1111),S;ZTM;Rafineria;3;3;3;3;
8;P(1125);ZTM;Wiœlinka Szkolna (n/¿);7;7;7;7;
9;P(1129);ZTM;Sobieszewo Most (n/¿);3;3;3;3;
10;P(1131),S;ZTM;Sobieszewo Wyspa;2;2;2;2;
11;P(1843);ZTM;Turystyczna (n/¿);3;;3;3;
12;P(1827);ZTM;Forsycji (n/¿);0;;0;0;
13;P(1137);ZTM;Lazurowa;2;;2;2;
14;P(1141);ZTM;Kwiatowa;2;;2;2;
15;P(1143);ZTM;Tra³owa - Szko³a;2;;2;2;
16;P(1147);ZTM;Wêgorzowa (n/¿);2;;2;2;
17;P(1149);ZTM;Przystañ;1;;1;1;
18;P(1153);ZTM;Uzdrowiskowa;2;;2;2;
19;P(1155);ZTM;Œwibnieñska;1;;1;1;
20;P(1157);ZTM;Przegaliñska;2;;2;2;
21;B,N,K0,P(143);ZTM;Przegalina;1;;1;1;
