99;Oprócz nocy z pi¹tku na sobotê i z soboty na niedzielê;#E6E6FA
23:00;X6;;
23:31;X7;;
24:16;X8;;
25:16;X8;;
26:34;X9;;
27:16;X10;;
28:16;X11;;
99;Noce z p¹tku na sobotê i z soboty na niedzielê;#E6E6FA
23:00;X6;;
23:31;X7;;
24:16;X8;;
25:16;X8;;
26:34;X9;;
27:16;X10;;
28:16;X11;;
