622;Flagi;Gmina;Nazwa;X1(00:00-29:59);X2(00:00-29:59);
1;B,P(1533);ZTM;Oliwa Pêtla Tramwajowa;0;0;
2;P(1503);ZTM;Cystersów;3;4;
3;P(1505);ZTM;Spacerowa (n/¿);2;2;
4;B,N,K0,P(154);ZTM;Oliwa ZOO;2;2;
