138;Flagi;Gmina;Nazwa;X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59)
1;B,P(1017);ZTM;Dworzec G³ówny;0;0;0;0;0
2;P(1031);ZTM;Brama Wy¿ynna;2;2;2;2;2
3;P(1037);ZTM;¯abi Kruk;2;2;2;2;2
4;P(1661);ZTM;Akademia Muzyczna;2;2;2;2;2
5;P(1099);ZTM;Brama ¯u³awska;1;1;1;1;1
6;P(1601);ZTM;Mostek;1;1;1;1;1
7;P(1103);ZTM;Elbl¹ska - Wiadukt (n/¿);2;2;2;2;2
8;P(1065);ZTM;Budzysza;3;3;3;3;3
9;P(1898);ZTM;Kontenerowa (n/¿);5;;;5;
10;P(1900);ZTM;Terminal DCT;2;;;2;
11;P(1069);ZTM;Sucharskiego - PKP (n/¿);4;3;3;4;3
12;P(1082);ZTM;Ku Ujœciu (n/¿);;1;1;1;
13;P(1098);ZTM;Kujawska;;1;1;1;
14;P(140);ZTM;Nabrze¿e Przemys³owe;;2;2;2;
15;P(1097);ZTM;Kujawska;;;2;2;
16;P(1071);ZTM;Ku Ujœciu (n/¿);1;;2;2;1
17;P(1073);ZTM;De Plelo (n/¿);3;;3;3;3
18;P(1975);ZTM;Twierdza Wis³oujœcie (n/¿);1;;1;1;1
19;P(1075);ZTM;Charpentiera Wis³oujœcie (n/¿);1;;1;1;1
20;P(1077);ZTM;Pok³adowa (n/¿);1;;1;1;1
21;P(1079);ZTM;Przystañ ¯eglugi;1;;1;1;1
22;B,N,K0,P(141);ZTM;Westerplatte;1;;1;1;1
