118;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59)
1;B,P(1984);ZTM;Jeleniogórska;0;0;0;0;0;0;0
2;P(168);ZTM;Ujeœcisko;1;1;1;1;1;1;1
3;P(1312);ZTM;Kielecka;2;2;2;2;2;2;1
4;P(1315);ZTM;Przemyska;1;1;1;1;1;1;1
5;P(1866);ZTM;P³ocka;2;2;2;2;2;2;2
6;P(1864);ZTM;Rogaliñska;1;1;1;1;1;1;1
7;P(1862);ZTM;Osiedle Jary;1;1;1;1;1;1;1
8;P(1246);ZTM;Cieszyñskiego;3;3;3;3;3;3;3
9;P(1780);ZTM;Sikorskiego;1;1;1;1;1;1;1
10;P(130);ZTM;Che³m Cienista;2;2;2;2;1;2;1
11;P(1252);ZTM;Buczka;1;1;1;1;1;1;1
12;P(1240);ZTM;Reformacka;1;1;1;1;1;1;1
13;P(1238);ZTM;Cmentarna (n/¿);1;1;1;1;1;1;1
14;P(1236);ZTM;Zaroœlak;2;3;3;2;1;1;1
15;P(1028);ZTM;Brama Wy¿ynna;3;4;5;4;3;4;3
16;B,N,K0,P(1016);ZTM;Dworzec G³ówny;2;2;2;2;2;2;2
