F6;Flagi;Gmina;Nazwa;X0(00:00-29:59)
1;B;ZTM;Targ Rybny;0
2;;ZTM;Sienna Grobla;6
3;;ZTM;Wiosny Ludów;5
4;;ZTM;Tamka;27
5;;ZTM;Stogi-Górki Zachodnie;30
6;B,N,K0;ZTM;Narodowe Centrum ¯eglarstwa;9
