207;Flagi;Gmina;Nazwa;X4(00:00-29:59);X5(00:00-29:59)
1;B,P(1013);ZTM;Dworzec G³ówny;0;0
2;P(1033);ZTM;Brama Wy¿ynna;2;2
3;P(1201);ZTM;Zaroœlak (n/¿);2;3
4;P(1207);ZTM;Sandomierska;2;2
5;P(1211);ZTM;Goœcinna;2;2
6;P(1217);ZTM;Lipce - Niegowska;3;4
7;P(1223);ZTM;Œw. Wojciech;3;3
8;P(5225),S;ZTM;Pruszcz Gdañski Radunica (n/¿);1;1
9;P(5601);ZTM;Pruszcz Gdañski Przemys³owa (n/¿);2;2
10;P(5832);ZTM;Pruszcz Gdañski Wal¹ga;3;4
11;P(5871);ZTM;Pruszcz Gdañski ¯wirki i Wigury;2;3
12;P(5838);ZTM;Pruszcz Gdañski Wiœniewskiego;2;2
13;P(5836);ZTM;Pruszcz Gdañski Obroñców Westerplatte;1;1
14;P(5870);ZTM;Pruszcz Gdañski Osiedle Kasprowicza;1;2
15;P(5868);ZTM;Pruszcz Gdañski Broniewskiego;1;1
16;P(5866);ZTM;Pruszcz Gdañski Wysockiego (n/¿);1;1
17;P(5820);ZTM;Pruszcz Gdañski Osiedle Wschód;1;1
18;P(5818);ZTM;Pruszcz Gdañski Reymonta (n/¿);1;1
19;P(5816);ZTM;Pruszcz Gdañski Emilii Plater;1;1
20;P(5814);ZTM;Pruszcz Gdañski Powstañców Warszawy (n/¿);2;2
21;P(5812);ZTM;Pruszcz Gdañski D¹browskiego;2;2
22;B,N,K0,P(171);ZTM;Pruszcz Gdañski Komarowo;2;2
