213;Flagi;Gmina;Nazwa;X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);
1;B,P(184);ZTM;Olimpijska;0;0;0;0;
2;P(1902);ZTM;Hokejowa;3;3;3;3;
3;P(1800);ZTM;Liliowa;1;1;1;1;
4;P(1320);ZTM;Niepo³omicka;2;3;5;4;
5;P(1318);ZTM;£ódzka (n/¿);1;1;2;1;
6;B,N,K0,P(390);ZTM;£ostowice Œwiêtokrzyska;1;1;1;1;
