295;Flagi;Gmina;Nazwa;X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);
1;B,P(191);ZTM;£ostowice Œwiêtokrzyska;0;0;0;
2;P(1319);ZTM;£ódzka (n/¿);1;1;2;
3;P(1321);ZTM;Niepo³omicka;1;1;2;
4;P(1789);ZTM;Wie¿ycka;1;2;2;
5;P(1932);ZTM;Porêbskiego;1;1;1;
6;B,N,K0,P(194);ZTM;Zakoniczyn;1;1;1;
