178;Flagi;Gmina;Nazwa;X10(00:00-29:59);X11(00:00-29:59);
1;B,P(1017);ZTM;Dworzec G³ówny;0;0;
2;P(1031);ZTM;Brama Wy¿ynna;2;3;
3;P(1037);ZTM;¯abi Kruk;2;2;
4;P(1661);ZTM;Akademia Muzyczna;2;2;
5;P(1099);ZTM;Brama ¯u³awska;1;1;
6;P(1718);ZTM;Targowisko (n/¿);2;2;
7;P(1182);ZTM;Na Szañcach;2;2;
8;B,N,K0,P(137);ZTM;Olszynka - Szko³a;1;1;
