99;Dni powszednie - okres nauki szkolnej;#EEEEEE
04:36;X10;;
05:18;X10;;
05:45;X10;;
06:10;X10;;
06:40;X10;;
07:10;X10;;
07:43;X10;;
08:05;X10;;
08:55;X10;;
10:00;X10;;
11:33;X10;;
12:38;X10;;
13:37;X11;;
14:02;X11;;
14:27;X11;;
14:52;X11;;
15:17;X11;;
15:52;X11;;
16:27;X11;;
17:02;X11;;
17:37;X11;;
18:12;X11;;
18:38;X11;;
19:18;X11;;
20:18;X10;;
21:18;X10;;
22:18;X10;;
99;Dni powszednie - ferie i wakacje;#EEEEEE
04:36;X10;;
05:18;X10;;
05:40;X10;;
06:10;X10;;
06:40;X10;;
07:10;X10;;
07:43;X10;;
08:05;X10;;
08:55;X10;;
09:55;X10;;
11:33;X10;;
12:38;X10;;
13:32;X11;;
14:02;X11;;
14:27;X11;;
14:52;X11;;
15:17;X11;;
15:52;X11;;
16:27;X11;;
17:02;X11;;
17:37;X11;;
18:12;X11;;
18:38;X11;;
19:18;X11;;
20:18;X10;;
21:18;X10;;
22:18;X10;;
99;Soboty;#E6E6FA
05:18;X10;;
06:18;X10;;
07:13;X10;;
08:13;X10;;
09:18;X10;;
10:18;X10;;
11:18;X10;;
12:18;X10;;
13:18;X10;;
14:18;X10;;
15:18;X10;;
16:18;X10;;
17:18;X10;;
18:18;X10;;
19:18;X10;;
20:18;X10;;
21:18;X10;;
22:18;X10;;
99;Niedziele i œwiêta;#FFE4E1
06:18;X10;;
07:13;X10;;
08:13;X10;;
09:18;X10;;
10:18;X10;;
11:18;X10;;
12:18;X10;;
13:18;X10;;
14:18;X10;;
15:18;X10;;
16:18;X10;;
17:18;X10;;
18:18;X10;;
19:18;X10;;
20:18;X10;;
21:18;X10;;
22:18;X10;;
