99;Dni powszednie - okres nauki szkolnej;#EEEEEE
04:42;X10;;
05:02;X10;;
05:17;X10;;
05:26;X11;;
05:34;X11;;
05:41;X11;;
05:49;X11;;
05:56;X11;;
06:04;X11;;
06:11;X11;;
06:19;X11;;
06:26;X11;;
06:34;X11;;
06:41;X11;;
06:49;X11;;
06:56;X11;;
07:04;X11;;
07:11;X11;;
07:19;X11;;
07:26;X11;;
07:34;X11;;
07:41;X11;;
07:49;X11;;
07:56;X11;;
08:00;X11;;
08:06;X11;;
08:16;X11;;
08:26;X11;;
08:42;X11;;
08:57;X11;;
09:12;X11;;
09:27;X11;;
09:43;X12;;
09:58;X12;;
10:12;X11;;
10:27;X11;;
10:43;X12;;
10:58;X12;;
11:12;X11;;
11:27;X12;;
11:42;X11;;
11:57;X11;;
12:13;X12;;
12:28;X12;;
12:42;X11;;
12:58;X11;;
13:09;X12;;
13:18;X11;;
13:28;X13;;
13:36;X13;;
13:43;X13;;
13:51;X13;;
13:58;X13;;
14:06;X13;;
14:13;X13;;
14:21;X13;;
14:28;X13;;
14:35;X14;;
14:42;X14;;
14:50;X14;;
14:57;X14;;
15:05;X14;;
15:12;X14;;
15:20;X14;;
15:27;X14;;
15:35;X14;;
15:42;X14;;
15:50;X14;;
15:57;X14;;
16:05;X14;;
16:12;X14;;
16:20;X14;;
16:29;X15;;
16:35;X14;;
16:42;X14;;
16:50;X14;;
16:57;X14;;
17:08;X13;;
17:18;X13;;
17:28;X13;;
17:38;X13;;
17:48;X13;;
18:00;X16;;
18:16;X16;;
18:27;X13;;
18:44;X16;;
18:59;X16;;
19:12;X13;;
19:27;X13;;
19:43;X13;;
19:58;X13;;
20:14;X13;;
20:30;X17;;
20:45;X17;;
21:06;X18;;
21:15;X17;;
21:30;X17;;
21:45;X17;;
22:00;X17;;
22:27;X18;;
99;Dni powszednie - ferie i wakacje;#EEEEEE
04:43;X10;;
05:02;X10;;
05:18;X10;;
05:28;X21;;
05:42;X10;;
05:48;X21;;
05:59;X21;;
06:13;X10;;
06:19;X21;;
06:29;X21;;
06:39;X21;;
06:49;X21;;
06:59;X21;;
07:09;X21;;
07:19;X21;;
07:29;X21;;
07:39;X21;;
07:49;X21;;
07:59;X21;;
08:09;X21;;
08:19;X21;;
08:29;X21;;
08:44;X21;;
08:59;X21;;
09:12;X21;;
09:29;X21;;
09:44;X22;;
09:59;X22;;
10:14;X21;;
10:29;X21;;
10:44;X22;;
10:59;X22;;
11:14;X22;;
11:29;X22;;
11:44;X21;;
11:59;X21;;
12:14;X22;;
12:29;X22;;
12:44;X21;;
12:59;X21;;
13:09;X21;;
13:20;X23;;
13:34;X24;;
13:40;X23;;
13:54;X24;;
14:00;X23;;
14:10;X23;;
14:20;X23;;
14:30;X25;;
14:38;X25;;
14:48;X25;;
14:58;X25;;
15:08;X25;;
15:18;X25;;
15:28;X25;;
15:38;X25;;
15:48;X25;;
15:58;X25;;
16:08;X25;;
16:18;X25;;
16:28;X25;;
16:38;X25;;
16:48;X25;;
16:57;X25;;
17:09;X23;;
17:19;X23;;
17:29;X23;;
17:40;X26;;
17:49;X23;;
18:00;X26;;
18:14;X23;;
18:29;X26;;
18:44;X26;;
18:59;X26;;
19:14;X26;;
19:29;X26;;
19:43;X23;;
19:59;X23;;
20:14;X26;;
20:32;X27;;
20:47;X27;;
21:06;X18;;
21:17;X27;;
21:32;X27;;
21:47;X27;;
22:02;X27;;
22:27;X18;;
99;Soboty, niedziele i œwiêta;#FFE4E1
04:57;X18;;
05:25;X18;;
05:41;X27;;
06:01;X27;;
06:25;X18;;
06:41;X27;;
07:01;X27;;
07:21;X21;;
07:41;X21;;
07:59;X21;;
08:14;X21;;
08:33;X10;;
08:44;X21;;
08:59;X21;;
09:14;X21;;
09:29;X21;;
09:45;X28;;
10:00;X28;;
10:14;X21;;
10:29;X21;;
10:45;X28;;
11:00;X28;;
11:15;X28;;
11:30;X28;;
11:44;X21;;
11:59;X21;;
12:15;X28;;
12:30;X28;;
12:44;X21;;
12:59;X21;;
13:14;X21;;
13:29;X21;;
13:44;X21;;
13:59;X21;;
14:14;X21;;
14:29;X21;;
14:44;X21;;
14:59;X21;;
15:14;X21;;
15:29;X21;;
15:44;X21;;
15:59;X21;;
16:14;X21;;
16:29;X21;;
16:45;X28;;
16:59;X21;;
17:15;X28;;
17:29;X21;;
17:45;X28;;
17:59;X21;;
18:15;X28;;
18:29;X21;;
18:44;X21;;
19:00;X28;;
19:14;X21;;
19:30;X28;;
19:44;X21;;
20:00;X28;;
20:14;X21;;
20:33;X29;;
20:47;X27;;
21:06;X18;;
21:17;X27;;
21:32;X27;;
21:47;X27;;
22:02;X27;;
22:27;X18;;
