111;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59)
1;B,P(139);ZTM;GÛrki Zachodnie;0;0;0;0;0;0;;0
2;P(1066);ZTM;£owicka;2;2;2;2;2;2;;2
3;P(1064);ZTM;£Íczycka;1;1;1;1;1;1;;1
4;P(1062);ZTM;Baza Manipulacyjna (n/ø);1;1;1;1;1;1;;1
5;P(1430);ZTM;GÛrecka (n/ø);1;1;1;1;1;1;;1
6;P(1060);ZTM;KÍpna (n/ø);1;1;1;1;1;1;;1
7;P(1058);ZTM;Steczka;1;1;1;1;1;1;;1
8;P(1056);ZTM;SÛwki;1;1;1;1;1;1;;1
9;P(1054);ZTM;Nowotna;2;2;2;2;2;2;;2
10;P(1052);ZTM;Zimna;2;2;2;2;2;2;;2
11;P(1050);ZTM;Budzysza Elmont;3;4;4;4;4;4;;3
12;P(1256);ZTM;Elblπska - Wiadukt (n/ø);3;4;4;4;4;3;;4
13;P(1100);ZTM;Mostek;2;2;2;2;2;2;;2
14;P(1042);ZTM;Brama Øu≥awska;1;1;1;1;1;1;;1
15;P(1662);ZTM;Akademia Muzyczna;1;1;1;1;1;1;;1
16;P(1041);ZTM;Szafarnia;2;2;2;2;2;2;0;3
17;P(1892);ZTM;Dolne Miasto;2;2;2;2;2;2;2;2
18;P(1890);ZTM;åluza;1;2;2;2;2;2;1;1
19;P(1664);ZTM;Kamienna Grobla;1;1;1;1;1;1;1;1
20;P(1190);ZTM;Rzeünicka;2;2;2;3;3;2;2;2
21;P(1030);ZTM;Brama Wyøynna;3;4;3;4;4;3;3;3
22;B,N,K0,P(1024);ZTM;Dworzec G≥Ûwny;2;2;2;2;4;2;2;3
