7;Flagi;Gmina;Nazwa;X5(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59)
1;B,P(213),1,I,H;ZTM;Strzy¿a PKM;0;;
2;P(2030),1,I,H;ZTM;Zajezdnia;1;;
3;P(2028),1,I,H;ZTM;Zamenhofa;1;;
4;P(2026),1,I,H;ZTM;Wojska Polskiego;1;;
5;P(2024),1,I,H;ZTM;Galeria Ba³tycka;2;;
6;P(2022),1,I,H;ZTM;Klonowa;1;;
7;P(2020),1,I,H;ZTM;Jaœkowa Dolina;2;;
8;P(2018),1,I,H;ZTM;Miszewskiego;2;;
9;P(2016),1,I,H;ZTM;Politechnika;1;;
10;P(2014),1,I,H;ZTM;Opera Ba³tycka;2;;
11;P(2012),1,I,H;ZTM;Traugutta;2;;
12;P(2010),1,I,H;ZTM;Uniwersytet Medyczny;1;;
13;P(2008),1,I,H;ZTM;Chodowieckiego;1;;
14;P(2006),1,I,H;ZTM;Brama Oliwska;1;;
15;B,P(209);ZTM;Nowy Port (Oliwska);;0;0
16;P(2200);ZTM;Przychodnia;;0;0
17;P(2198);ZTM;Rybo³owców;;1;1
18;P(2197);ZTM;Rybo³owców;;1;1
19;P(2166);ZTM;Wyzwolenia - Mar. Polskiej;;3;3
20;P(2164);ZTM;Œnie¿na;;1;1
21;P(2162);ZTM;PGE ARENA Gdañsk;;2;2
22;P(2160);ZTM;Mostostal;;1;1
23;P(2158);ZTM;¯aglowa - AmberExpo;;1;1
24;P(2156);ZTM;Swojska;;2;2
25;P(2154);ZTM;Wêze³ Kliniczna;;1;1
26;P(2068);ZTM;Twarda;;1;1
27;P(2066);ZTM;Stocznia Pó³nocna;;1;1
28;P(2064);ZTM;Stocznia SKM;;2;2
29;P(2062);ZTM;Pl. Solidarnoœci;;1;2
30;P(2002);ZTM;Dworzec G³ówny;2;2;2
31;P(2101);ZTM;Brama Wy¿ynna;2;2;2
32;P(2207);ZTM;Œródmieœcie SKM;2;2;2
33;P(2211);ZTM;Pohulanka (Armii Krajowej);2;2;2
34;P(2213);ZTM;Odrzañska;1;1;1
35;P(2215);ZTM;Cha³ubiñskiego;2;2;2
36;P(2217);ZTM;Sikorskiego;1;1;1
37;P(2221);ZTM;Cieszyñskiego;2;2;2
38;P(2223);ZTM;Cebertowicza;1;1;1
39;P(2225);ZTM;Wilanowska;2;2;2
40;P(2227);ZTM;Przemyska;1;1;1
41;P(2229);ZTM;P³ocka;1;1;1
42;B,N,K0,P(2231);ZTM;£ostowice Œwiêtokrzyska;2;2;2
