99;Dni powszednie;#EEEEEE
04:39;X6;
04:50;X0;
04:56;X6;
04:57;X1;
05:17;X1;
05:32;X6;
05:37;X3;
05:42;X6;
05:44;X3;
05:52;X6;
05:54;X3;
06:02;X6;
06:04;X3;
06:12;X6;
06:22;X6;
06:24;X3;
06:32;X6;
06:34;X3;
06:42;X6;
06:44;X3;
06:52;X6;
06:54;X3;
07:04;X3;
07:12;X6;
07:14;X3;
07:22;X6;
07:24;X3;
07:32;X6;
07:34;X3;
07:42;X6;
07:44;X3;
07:52;X6;
08:03;X3;
08:11;X3;
08:19;X3;
08:33;X3;
08:45;X3;
13:22;X6;
13:42;X6;
14:02;X6;
14:14;X3;
14:22;X6;
14:32;X6;
14:34;X3;
14:42;X6;
14:52;X6;
14:54;X3;
15:02;X6;
15:12;X6;
15:14;X3;
15:22;X6;
15:24;X3;
15:32;X6;
15:34;X3;
15:42;X6;
15:44;X3;
15:54;X3;
16:02;X6;
16:04;X3;
16:12;X6;
16:14;X3;
16:22;X6;
16:24;X3;
16:32;X6;
16:34;X3;
16:42;X6;
16:54;X3;
17:02;X6;
17:04;X3;
17:13;X4;
17:17;X6;
17:26;X4;
17:31;X4;
17:51;X4;
18:06;X3;
