149;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);
1;B,P(1469);ZTM;Krynicka;0;0;0;0;0;0;
2;P(1791);ZTM;Przymorze SKM;2;2;2;2;3;3;
3;P(1812);ZTM;Ba¿yñskiego;3;4;3;3;4;4;
4;P(1814);ZTM;Jasia i Ma³gosi;2;3;2;2;2;3;
5;P(1816);ZTM;Szpital Marynarki Wojennej;1;1;1;1;1;1;
6;P(1818);ZTM;Meczet;1;1;1;1;1;1;
7;P(1820);ZTM;Norblina;1;1;1;1;1;1;
8;P(1822);ZTM;Mjr Hubala;2;2;2;2;2;2;
9;P(1824);ZTM;Reymonta;1;2;2;2;2;2;
10;P(1922);ZTM;Zabytkowa;2;3;3;2;3;3;
11;P(1382);ZTM;Galeria Ba³tycka;2;4;4;3;3;3;
12;B,N,K0,P(313);ZTM;Wrzeszcz PKP;1;1;1;1;1;1;
