99;Dni powszednie;#EEEEEE
05:10;X0;
05:40;X0;
06:07;X1;
06:37;X1;
06:57;X1;
07:22;X1;
07:42;X1;
08:02;X0;
08:12;X0;
08:37;X0;
08:57;X0;
09:22;X0;
10:02;X0;
10:42;X0;
11:22;X0;
12:02;X0;
12:42;X0;
13:22;X1;
13:52;X1;
14:12;X1;
14:32;X1;
14:52;X1;
15:12;X1;
15:32;X1;
15:52;X1;
16:12;X1;
16:37;X1;
16:57;X1;
17:12;X0;
17:32;X0;
18:00;X0;
18:40;X0;
19:20;X0;
20:00;X0;
20:40;X0;
21:20;X0;
22:33;X0;
99;Soboty;#E6E6FA
05:17;X0;
06:15;X0;
06:45;X0;
07:25;X0;
08:02;X0;
08:42;X0;
09:22;X0;
10:02;X0;
10:42;X0;
11:22;X0;
12:02;X0;
12:42;X0;
13:22;X0;
14:02;X0;
14:42;X0;
15:22;X0;
16:02;X0;
16:42;X0;
17:22;X0;
18:02;X0;
18:42;X0;
19:32;X0;
20:22;X0;
21:32;X0;
22:33;X4;
99;Niedziele i œwiêta;#FFE4E1
05:22;X0;
06:32;X0;
07:42;X0;
09:00;X0;
10:12;X0;
11:22;X0;
12:02;X0;
12:42;X0;
13:22;X0;
14:02;X0;
14:42;X0;
15:22;X0;
16:02;X0;
16:42;X0;
17:22;X0;
18:02;X0;
18:42;X0;
19:22;X0;
20:22;X0;
21:32;X0;
22:33;X4;
