622;Flagi;Gmina;Nazwa;X0(00:00-29:59);
1;B,P(154);ZTM;Oliwa ZOO;0;
2;P(1506);ZTM;Spacerowa (n/¿);2;
3;P(1504);ZTM;Cystersów;1;
4;B,N,K0,P(1534);ZTM;Oliwa Pêtla Tramwajowa;2;
