99;Dni powszednie;#EEEEEE
03:55;X9;N;
04:02;X10;;
04:05;X11;N;
04:35;X9;N;
04:35;X12;N;
04:47;X10;;
05:05;X9;;
05:07;X10;N;
05:25;X9;;
05:35;X12;N;
05:44;X9;;
05:39;X10;N;
05:56;X13;;
05:58;X14;;
06:16;X13;N;
06:26;X13;N;
06:36;X13;;
06:46;X13;;
06:56;X13;N;
07:06;X13;;
07:16;X13;N;
07:26;X13;;
07:36;X13;N;
07:46;X13;;
07:56;X13;;
08:06;X13;N;
08:16;X13;N;
08:33;X13;;
08:53;X13;N;
09:13;X13;N;
09:33;X13;N;
09:53;X13;;
10:13;X13;N;
10:33;X13;N;
10:53;X13;N;
11:13;X13;N;
11:33;X13;N;
11:53;X13;;
12:13;X13;N;
12:33;X13;N;
12:53;X13;N;
13:13;X13;N;
13:26;X15;;
13:33;X16;;
13:31;X13;N;
13:37;X17;;
13:42;X18;;
13:39;X19;;
13:56;X13;;
14:05;X16;;
14:06;X13;N;
14:09;X19;;
14:26;X13;N;
14:35;X16;;
14:36;X13;N;
14:39;X19;;
14:56;X13;N;
15:06;X13;;
15:16;X13;N;
15:26;X13;;
15:36;X13;;
15:46;X13;;
15:56;X13;N;
16:06;X13;;
16:16;X13;N;
16:26;X13;N;
16:36;X13;;
16:46;X13;N;
16:56;X13;;
17:06;X13;N;
17:14;X13;;
17:28;X13;;
17:34;X13;;
17:54;X13;N;
18:14;X13;N;
18:34;X13;N;
18:54;X13;N;
19:14;X13;N;
19:34;X12;;
19:54;X12;N;
20:14;X12;N;
20:36;X20;N;
21:07;X20;N;
21:36;X20;N;
22:06;X20;N;
22:36;X20;N;
99;Soboty;#E6E6FA
03:59;X23;N;
04:33;X24;N;
04:28;X25;N;
04:58;X25;;
05:36;X20;N;
06:01;X20;N;
06:07;X25;;
06:35;X12;N;
06:47;X10;N;
07:15;X12;;
07:35;X12;N;
07:55;X12;N;
08:15;X12;;
08:35;X12;N;
08:55;X12;N;
09:15;X12;;
09:35;X12;N;
09:55;X12;N;
10:15;X12;;
10:35;X12;N;
10:55;X12;N;
11:15;X12;;
11:35;X12;N;
11:55;X12;N;
12:15;X12;;
12:35;X12;N;
12:55;X12;N;
13:15;X12;;
13:35;X12;N;
13:55;X12;N;
14:15;X12;;
14:35;X12;N;
14:55;X12;N;
15:15;X12;;
15:35;X12;N;
15:55;X12;N;
16:15;X12;;
16:35;X12;N;
16:55;X12;N;
17:15;X12;;
17:35;X12;N;
17:55;X12;N;
18:15;X12;;
18:35;X12;N;
18:55;X12;N;
19:15;X12;;
19:35;X12;N;
19:55;X12;N;
20:15;X12;;
20:36;X20;N;
21:07;X20;;
21:36;X20;N;
22:06;X20;;
22:36;X20;N;
99;Niedziele i œwiêta;#FFE4E1
03:59;X23;N;
04:33;X24;;
04:28;X25;N;
04:58;X25;;
05:36;X20;N;
06:06;X20;;
06:36;X20;N;
07:06;X20;;
07:36;X20;N;
08:06;X20;;
08:36;X20;N;
08:53;X25;N;
09:15;X20;;
09:35;X12;N;
09:47;X10;N;
10:15;X12;;
10:35;X12;N;
10:55;X12;N;
11:15;X12;;
11:35;X12;N;
11:55;X12;N;
12:15;X12;;
12:35;X12;N;
12:55;X12;N;
13:15;X12;;
13:35;X12;N;
13:55;X12;N;
14:15;X12;;
14:35;X12;N;
14:55;X12;N;
15:15;X12;;
15:35;X12;N;
15:55;X12;N;
16:15;X12;;
16:35;X12;N;
16:55;X12;N;
17:15;X12;;
17:35;X12;N;
17:55;X12;N;
18:15;X12;;
18:35;X12;N;
18:55;X12;N;
19:15;X12;;
19:35;X12;N;
19:55;X12;N;
20:15;X12;;
20:36;X20;N;
21:07;X20;;
21:36;X20;N;
22:06;X20;;
22:36;X20;N;
