99;Dni powszednie;#EEEEEE
04:42;X0;N;
05:02;X0;;
05:22;X0;N;
05:37;X1;N;
05:47;X1;;
05:57;X1;;
06:07;X1;N;
06:17;X1;;
06:27;X1;N;
06:37;X1;;
06:47;X1;N;
06:57;X1;;
07:07;X1;;
07:17;X1;N;
07:27;X1;N;
07:37;X1;;
07:47;X2;;
07:57;X1;N;
08:07;X2;;
08:20;X1;N;
08:25;X3;;
08:40;X1;N;
08:48;X3;;
09:00;X1;;
09:20;X1;N;
09:40;X1;N;
10:00;X1;N;
10:20;X1;N;
10:40;X1;N;
11:00;X1;;
11:20;X1;N;
11:40;X1;N;
12:00;X1;N;
12:20;X1;N;
12:40;X1;N;
13:00;X1;;
13:17;X1;N;
13:37;X1;N;
13:47;X1;N;
14:07;X1;N;
14:17;X1;;
14:27;X1;N;
14:37;X1;;
14:47;X1;;
14:57;X1;;
15:07;X1;N;
15:17;X1;;
15:27;X1;N;
15:37;X1;N;
15:47;X1;;
15:57;X1;N;
16:07;X1;;
16:17;X1;N;
16:27;X1;;
16:37;X1;;
16:47;X1;;
16:57;X1;N;
17:07;X2;;
17:23;X1;N;
17:28;X3;;
17:43;X1;N;
17:48;X3;;
18:03;X1;N;
18:06;X3;;
18:19;X3;;
18:23;X1;N;
18:43;X1;;
19:03;X1;N;
19:23;X1;N;
19:41;X0;N;
20:01;X4;N;
20:20;X0;N;
20:25;X4;;
20:45;X5;N;
21:15;X5;N;
21:45;X5;N;
22:15;X6;N;
22:45;X6;N;
22:55;X7;N;
23:22;X8;N;
99;Soboty;#E6E6FA
04:45;X5;N;
05:15;X5;N;
05:45;X5;N;
06:15;X5;;
06:42;X0;N;
07:02;X0;N;
07:22;X0;;
07:42;X0;N;
08:02;X0;N;
08:22;X0;;
08:42;X0;N;
09:02;X0;N;
09:22;X0;;
09:42;X0;N;
10:02;X0;N;
10:22;X0;;
10:42;X0;N;
11:02;X0;N;
11:22;X0;;
11:42;X0;N;
12:02;X0;N;
12:22;X0;;
12:42;X0;N;
13:02;X0;N;
13:22;X0;;
13:42;X0;N;
14:02;X0;N;
14:22;X0;;
14:42;X0;N;
15:02;X0;N;
15:22;X0;;
15:42;X0;N;
16:02;X0;N;
16:22;X0;;
16:42;X0;N;
17:02;X0;N;
17:22;X0;;
17:42;X0;N;
18:02;X0;N;
18:22;X0;;
18:42;X0;N;
19:02;X0;N;
19:22;X0;;
19:42;X0;N;
20:02;X4;N;
20:20;X0;;
20:25;X21;N;
20:45;X5;N;
21:15;X5;;
21:45;X5;N;
22:15;X6;;
22:45;X6;N;
22:55;X22;;
23:22;X8;N;
99;Niedziele i œwiêta;#FFE4E1
04:45;X5;N;
05:15;X5;;
05:45;X5;N;
06:15;X5;;
06:45;X5;N;
07:15;X5;;
07:45;X5;N;
08:15;X5;;
08:45;X5;N;
09:15;X5;;
09:42;X0;N;
10:02;X0;N;
10:22;X0;;
10:42;X0;N;
11:02;X0;N;
11:22;X0;;
11:42;X0;N;
12:02;X0;N;
12:22;X0;;
12:42;X0;N;
13:02;X0;N;
13:22;X0;;
13:42;X0;N;
14:02;X0;N;
14:22;X0;;
14:42;X0;N;
15:02;X0;N;
15:22;X0;;
15:42;X0;N;
16:02;X0;N;
16:22;X0;;
16:42;X0;N;
17:02;X0;N;
17:22;X0;;
17:42;X0;N;
18:02;X0;N;
18:22;X0;;
18:42;X0;N;
19:02;X0;N;
19:22;X0;;
19:42;X0;N;
20:02;X4;N;
20:20;X0;;
20:25;X26;N;
20:45;X5;N;
21:15;X5;;
21:45;X5;N;
22:15;X6;;
22:45;X6;N;
22:55;X22;;
23:22;X8;N;
