N3;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59)
1;B,P(1013);ZTM;Dworzec G³ówny;0;0
2;P(1033);ZTM;Brama Wy¿ynna;2;2
3;P(1261);ZTM;Tarasy (Bema) (n/¿);3;3
4;P(1263);ZTM;Zakopiañska (n/¿);2;2
5;P(1265);ZTM;Siedlce (n/¿);1;1
6;P(1635);ZTM;Emaus (n/¿);1;1
7;P(1267);ZTM;Zielony Stok (n/¿);1;1
8;P(1269);ZTM;Pagórkowa (n/¿);1;1
9;P(1271);ZTM;Myœliwska (n/¿);2;2
10;P(1273);ZTM;Lipowa (n/¿);1;1
11;P(1275);ZTM;Damroki (n/¿);2;2
12;P(1295);ZTM;Pólnicy (n/¿);0;0
13;P(1277);ZTM;Zwierzyniecka (n/¿);1;1
14;P(1279);ZTM;Jasieñ - Dzia³ki (n/¿);1;1
15;P(1719);ZTM;¯yczliwa (n/¿);1;1
16;P(1281);ZTM;Wêze³ Karczemki (n/¿);1;1
17;P(1930);ZTM;Szczêœliwa (n/¿);1;1
18;P(1795);ZTM;Karczemki (n/¿);;3
19;P(1721);ZTM;Gostyñska (n/¿);;1
20;P(1305);ZTM;Otomiñska (n/¿);;0
21;P(1307);ZTM;Kie³pino - Szko³a (n/¿);;1
22;P(1797);ZTM;£apiñska (n/¿);;1
23;P(178);ZTM;Kie³pino Górne (Wêsierska) (n/¿);;1
24;P(1798);ZTM;£apiñska (n/¿);;1
25;P(1304);ZTM;Kie³pino - Szko³a (n/¿);;1
26;P(1302);ZTM;Otomiñska (n/¿);;1
27;P(1722);ZTM;Gostyñska (n/¿);;1
28;P(1283);ZTM;Karczemki (n/¿);3;1
29;P(1285);ZTM;In¿ynierska (n/¿);1;1
30;P(1287);ZTM;Fabryczna (n/¿);1;1
31;P(1289);ZTM;Transportowców (n/¿);1;1
32;P(1414);ZTM;Nowatorów (n/¿);1;1
33;P(1844);ZTM;S¹siedzka (n/¿);1;1
34;P(1412);ZTM;Matarnia PKM (n/¿);1;1
35;P(1399);ZTM;Agrarna (n/¿);1;1
36;P(1401);ZTM;Astronautów (n/¿);1;1
37;P(1403);ZTM;Szybowcowa (n/¿);1;1
38;P(1733);ZTM;Firoga (n/¿);1;1
39;P(103);ZTM;Port Lotniczy;3;3
40;P(1404);ZTM;Firoga (n/¿);2;2
41;P(1402);ZTM;Szybowcowa (n/¿);1;1
42;P(1400);ZTM;Astronautów (n/¿);1;1
43;P(1398);ZTM;Agrarna (n/¿);1;1
44;P(1396);ZTM;Z³ota Karczma (n/¿);1;1
45;P(1394);ZTM;S³owackiego - Dzia³ki (n/¿);3;3
46;P(1390);ZTM;Potokowa (n/¿);2;2
47;P(1926);ZTM;Trawki (n/¿);1;1
48;P(1924);ZTM;Srebrzysko (n/¿);1;1
49;P(1922);ZTM;Zabytkowa (n/¿);1;1
50;P(1382);ZTM;Galeria Ba³tycka (n/¿);1;1
51;B,N,K0,P(313);ZTM;Wrzeszcz PKP;1;1
