100;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);
1;B,P(100);ZTM;Targ Rybny;0;0;0;0;
2;P(1836);ZTM;Katarzynki;1;1;2;1;
3;P(1837);ZTM;Heweliusza;1;1;1;1;
4;P(1001);ZTM;Aksamitna;1;1;1;1;
5;P(1009);ZTM;Wa³y Piastowskie;2;2;2;2;
6;B,N,K0,P(1023);ZTM;Dworzec G³ówny;3;4;4;2;
