200;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59)
1;B,P(5820);ZTM;Pruszcz Gdañski Osiedle Wschód;;0
2;P(5818);ZTM;Pruszcz Gdañski Reymonta (n/¿);;1
3;P(5816);ZTM;Pruszcz Gdañski Emilii Plater;;1
4;P(5814);ZTM;Pruszcz Gdañski Powstañców Warszawy (n/¿);;1
5;P(5835);ZTM;Pruszcz Gdañski ¯wirki i Wigury;;2
6;P(5829);ZTM;Pruszcz Gdañski Niemcewicza;;1
7;P(5604);ZTM;Pruszcz Gdañski Chopina;;3
8;B,P(5819),1,I;ZTM;Pruszcz Gdañski Osiedle Wschód;0;
9;P(5865),1,I;ZTM;Pruszcz Gdañski Wysockiego (n/¿);1;
10;P(5867),1,I;ZTM;Pruszcz Gdañski Broniewskiego;1;
11;P(5869),1,I;ZTM;Pruszcz Gdañski Osiedle Kasprowicza;1;
12;P(5837),1,I;ZTM;Pruszcz Gdañski Obroñców Westerplatte;1;
13;P(5841),1,I;ZTM;Pruszcz Gdañski Osiedle Piastowskie;1;
14;P(5602);ZTM;Pruszcz Gdañski Przemys³owa (n/¿);2;2
15;P(5226),S;ZTM;Pruszcz Gdañski Radunica (n/¿);2;2
16;P(1218);ZTM;Lipce - Niegowska;3;3
17;P(1210);ZTM;Goœcinna;5;4
18;P(1206);ZTM;Sandomierska;3;2
19;P(1028);ZTM;Brama Wy¿ynna;6;4
20;B,N,K0,P(1016);ZTM;Dworzec G³ówny;3;3
