166;Flagi;Gmina;Nazwa;X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59)
1;B,P(1017);ZTM;Dworzec G³ówny;0;0;0
2;P(1031);ZTM;Brama Wy¿ynna;2;2;2
3;P(1037);ZTM;¯abi Kruk;2;2;2
4;P(1661);ZTM;Akademia Muzyczna;2;2;2
5;P(1099);ZTM;Brama ¯u³awska;1;1;1
6;P(1601);ZTM;Mostek ;1;1;1
7;P(1101);ZTM;Mia³ki Szlak;1;1;1
8;P(1103);ZTM;Elbl¹ska - Wiadukt;1;1;1
9;P(1105);ZTM;B³onia;1;1;1
10;P(158),1,I;ZTM;Sztutowska;3;3;
11;P(1107);ZTM;Tarcice;;2;1
12;P(1109);ZTM;Micha³ki Wiadukt (n/¿);;2;2
13;P(1111),S;ZTM;Rafineria;;1;1
14;P(181);ZTM;Przejazdowo "Makro";;1;1
15;P(1683);ZTM;Dobrowo;;1;1
16;B,N,K0,P(187);ZTM;Rafineria - brama 8;;2;2
