232;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X10(00:00-29:59);X14(00:00-29:59)
1;B,P(5831);ZTM;Pruszcz Gd. - CER;0;0;;0;;0;
2;P(5874);ZTM;Pruszcz Gd. - Fabryczny (n/¿);2;2;;2;;2;
3;P(5834);ZTM;Pruszcz Gd. - Batalionów Ch³opskich;2;2;;2;;2;
4;P(5609),1,I;ZTM;Pruszcz Gd. - Urz¹d Skarbowy;;;0;;0;;0
5;P(5608);ZTM;Pruszcz Gd. - Nowowiejskiego;1;1;1;1;1;1;1
6;P(5606);ZTM;Pruszcz Gd. - Matejki;1;1;1;1;1;1;1
7;P(5604);ZTM;Pruszcz Gd. - Chopina;2;3;2;2;2;2;2
8;P(5701),1,I;ZTM;Pruszcz Gd. - Raciborskiego;;;;;;2;2
9;P(5704),1,I;ZTM;Pruszcz Gd. - Rondo Kaszubskie;;;;;;2;2
10;P(5602);ZTM;Pruszcz Gd. - Przemys³owa (n/¿);2;2;2;2;2;3;3
11;P(5226),S;ZTM;Pruszcz Gd. - Radunica (n/¿);2;2;2;2;2;2;2
12;P(175);ZTM;Œw. Wojciech;1;1;1;1;1;1;1
13;P(1218);ZTM;Lipce - Niegowska;3;3;3;3;3;3;3
14;P(1216);ZTM;Ukoœna (n/¿);1;2;1;1;1;1;1
15;P(1210);ZTM;Goœcinna;3;3;3;2;2;3;3
16;P(1208);ZTM;Rejtana (n/¿);1;1;1;1;1;1;1
17;P(1206);ZTM;Sandomierska;1;2;1;1;1;1;1
18;P(1200);ZTM;Zaroœlak  (n/¿);2;3;2;2;2;2;2
19;P(1028);ZTM;Brama Wy¿ynna;2;3;2;2;2;2;2
20;B,N,K0,P(1016);ZTM;Dworzec G³ówny;2;3;2;2;2;2;2
