148;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X10(00:00-29:59)
1;B,P(125);ZTM;Nowy Port Szaniec Zachodni;;;0;0;0;0
2;P(1502);ZTM;W³adys³awa IV;;;2;2;2;2
3;P(1592);ZTM;Pl. Wolnoœci;;;2;2;1;1
4;P(1500);ZTM;Wyzwolenia;;;2;2;2;2
5;P(1498);ZTM;Zespó³ Szkó³ Morskich;;;2;2;2;2
6;P(1590);ZTM;Krasickiego (n/¿);;;2;2;2;2
7;P(1496);ZTM;BrzeŸno;;;1;1;1;1
8;P(1494);ZTM;PCK;;;1;1;1;1
9;P(1492);ZTM;Dworska;;;2;2;2;2
10;P(1650),1,I;ZTM;Hallera - Baza ZKM;;;;;2;
11;P(1998);ZTM;al. Hallera (n/¿);0;0;1;2;1;1
12;P(1476);ZTM;Czarny Dwór;1;1;1;1;1;1
13;P(1474);ZTM;Przymorze Wielkie;2;2;2;2;2;2
14;P(1472);ZTM;Obroñców Wybrze¿a;1;1;1;1;1;1
15;P(1490);ZTM;Czerwony Dwór;3;3;3;3;3;3
16;P(1488);ZTM;Piastowska;1;2;2;2;1;1
17;P(1761);ZTM;Gospody;2;2;2;2;2;2
18;P(1603);ZTM;Subis³awa;2;2;2;2;2;2
19;B,N,K0,P(321);ZTM;¯abianka SKM;1;1;1;1;1;1
