148;Flagi;Gmina;Nazwa;X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59)
1;B,P(321);ZTM;¯abianka SKM;;0;0;0;0
2;P(1392);ZTM;Rybacka;;1;1;1;1
3;P(1487);ZTM;Pomorska;;2;2;1;1
4;P(1489);ZTM;Piastowska;;2;2;2;2
5;P(1456);ZTM;Czerwony Dwór;;1;2;1;1
6;P(1471);ZTM;Ch³opska;;2;2;2;2
7;P(1473);ZTM;Obroñców Wybrze¿a;;1;1;1;1
8;P(1475);ZTM;Przymorze Wielkie;;2;2;1;1
9;P(1448);ZTM;Czarny Dwór;;3;3;2;2
10;P(1580),H,1,I;ZTM;al. Hallera;;;;;1
11;P(1999);ZTM;al. Hallera (n/¿);0;2;2;1;
12;P(1491);ZTM;Dworska;1;1;1;1;
13;P(1493);ZTM;PCK;1;1;1;1;
14;P(1495);ZTM;BrzeŸno;2;2;2;2;
15;P(1589);ZTM;Krasickiego (n/¿);1;1;1;1;
16;P(1497);ZTM;Zespó³ Szkó³ Morskich;2;2;2;2;
17;P(1499);ZTM;Wyzwolenia;2;2;2;2;
18;P(1893);ZTM;Wyzwolenia - Mar. Polskiej;1;1;1;1;
19;P(1591);ZTM;Pl. Wolnoœci;1;1;1;1;
20;P(1501);ZTM;Zajezdnia NOWY PORT;1;1;1;1;
21;B,N,K0,P(325);ZTM;Nowy Port Szaniec Zachodni;1;1;1;1;
