99;Dni powszednie - okres nauki szkolnej;#EEEEEE
04:20;X0;;
05:30;X0;;
06:30;X1;;
07:40;X1;;
08:50;X1;;
10:00;X1;;
11:00;X1;;
12:00;X1;;
13:00;X2;;
14:00;X2;;
14:42;X3;;
15:45;X3;;
16:55;X3;;
17:55;X4;;
18:57;X4;;
19:56;X5;;
20:55;X5;;
21:55;X6;;
99;Dni powszednie - ferie i wakacje;#EEEEEE
04:20;X0;;
05:30;X0;;
06:30;X1;;
07:40;X1;;
08:50;X1;;
10:00;X1;;
11:00;X1;;
12:00;X1;;
13:00;X2;;
14:00;X2;;
14:42;X3;;
15:45;X3;;
16:55;X3;;
17:55;X4;;
18:57;X4;;
19:56;X5;;
20:55;X5;;
21:55;X6;;
99;Soboty, niedziele i œwiêta;#FFE4E1
05:55;X15;;
06:55;X15;;
07:55;X16;;
08:55;X16;;
09:55;X16;;
10:55;X16;;
11:55;X17;;
12:55;X17;;
13:55;X17;;
14:55;X17;;
15:55;X17;;
16:55;X17;;
17:55;X17;;
18:55;X17;;
19:55;X15;;
20:55;X15;;
21:55;X18;;
