122;Flagi;Gmina;Nazwa;X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X19(00:00-29:59);X20(00:00-29:59);X21(00:00-29:59)
1;B,P(102);ZTM;Port Lotniczy;;0;0;0;0;0;0;0;;0;0
2;P(1404);ZTM;Firoga (n/¿);;3;3;3;3;3;3;3;;3;3
3;P(1402);ZTM;Szybowcowa;;1;1;1;1;1;1;1;;1;1
4;P(1400);ZTM;Astronautów;;2;2;2;2;2;2;2;;1;1
5;P(1398);ZTM;Agrarna;;1;2;2;2;2;2;2;;2;2
6;P(1396);ZTM;Z³ota Karczma;;2;2;2;2;2;2;2;;2;2
7;P(1394);ZTM;S³owackiego - Dzia³ki (n/¿);;3;5;3;3;4;5;3;;3;3
8;P(1390);ZTM;Potokowa;;2;6;5;3;5;6;2;;2;2
9;P(1926);ZTM;Trawki (n/¿);;1;1;1;1;1;1;1;;1;1
10;P(1924);ZTM;Srebrzysko;;1;1;1;1;1;1;1;;1;1
11;P(1922);ZTM;Zabytkowa;;1;1;1;1;1;1;1;;1;1
12;P(1636);ZTM;Galeria Ba³tycka;0;3;5;5;4;4;5;3;0;2;2
13;P(1796);ZTM;Wojska Polskiego;1;1;1;1;1;1;1;1;2;2;2
14;P(1794);ZTM;Abrahama;2;2;2;2;2;2;2;2;2;2;2
15;P(1678);ZTM;Biblioteka G³ówna UG;1;1;1;1;1;2;2;1;1;1;1
16;P(1840);ZTM;Hala "Olivia";1;1;1;1;1;1;1;1;1;1;1
17;P(1778);ZTM;Oliwa Pêtla Tramwajowa;2;2;3;2;2;2;2;2;1;2;1
18;P(1666);ZTM;Opacka (n/¿);2;2;2;2;2;3;3;1;2;2;2
19;P(1668);ZTM;Górskiego;2;2;2;2;2;2;2;2;1;1;1
20;P(4014),S;ZTM;Sopot Ergo Arena;3;3;3;3;3;3;3;3;3;3;3
21;P(4018);ZTM;Sopot Architektów (n/¿);2;2;2;2;2;2;2;2;2;2;2
22;P(4020);ZTM;Sopot Polna (n/¿);1;1;1;1;1;1;1;1;1;1;1
23;P(4069);ZTM;Sopot Grunwaldzka;2;2;2;2;2;2;2;2;2;2;2
24;P(4070);ZTM;Sopot Chopina;1;1;1;1;1;1;1;1;2;2;2
25;P(4071);ZTM;Sopot Grand Hotel;1;1;1;1;1;1;1;1;2;2;2
26;P(4072);ZTM;Sopot Korty Tenisowe (n/¿);2;2;2;2;2;2;2;2;1;1;1
27;P(4073);ZTM;Sopot Plac Kusociñskiego (n/¿);1;1;1;1;1;1;1;1;1;1;1
28;P(4074);ZTM;Sopot M³yñska (n/¿);1;1;1;1;1;1;1;1;1;1;1
29;B,N,K0,P(4010);ZTM;Sopot Kamienny Potok SKM;3;3;3;3;3;3;3;3;4;4;4
