129;Flagi;Gmina;Nazwa;X4(00:00-29:59);X5(00:00-29:59);
1;B,P(115);ZTM;Wrzeszcz PKP;0;0;
2;P(1345);ZTM;Jaœkowa Dolina;3;3;
3;P(1725);ZTM;Sobótki (n/¿);3;3;
4;P(1361);ZTM;Na Wzgórzu;1;2;
5;P(1363);ZTM;Falista (n/¿);1;1;
6;P(1365);ZTM;Strzelnica (n/¿);1;1;
7;P(1367);ZTM;Dobrowolskiego;2;2;
8;P(1369);ZTM;Piecewska;1;1;
9;P(1371);ZTM;Warneñska;1;1;
10;P(1373);ZTM;Budapesztañska;2;2;
11;P(1777);ZTM;Migowo;1;1;
12;P(1849);ZTM;Wo³kowyska;1;1;
13;P(1851);ZTM;Zacna;2;2;
14;P(1853);ZTM;Staw Wróbla;1;1;
15;P(1871);ZTM;Jasieñska;1;1;
16;B,N,K0,P(185);ZTM;Jasieñ PKM;2;2;
