175;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59)
1;B,P(133);ZTM;Maækowy Mleczarnia;;0;0;0;0;0;0;0;0;0
2;P(1326);ZTM;Starogardzka;;2;2;2;2;2;2;2;2;2
3;P(1324);ZTM;Przemian (n/¿);;1;1;1;1;1;1;1;1;1
4;P(1604);ZTM;Pastelowa;;1;1;1;1;1;1;1;1;1
5;P(1859);ZTM;Knyszyñska;;3;3;3;3;;3;3;;
6;P(183);ZTM;Kampinoska;0;1;1;1;1;;1;1;;
7;P(1856);ZTM;Kolorowa;2;2;2;2;2;;2;2;;
8;P(1756);ZTM;Srebrna;2;2;2;2;2;1;2;2;1;1
9;P(1322);ZTM;Przebiœniegowa;1;1;1;1;1;1;1;1;1;1
10;P(1320);ZTM;Niepo³omicka;2;2;3;4;2;2;2;2;2;1
11;P(1318);ZTM;£ódzka (n/¿);1;1;1;2;1;1;1;1;1;1
12;P(390);ZTM;£ostowice Œwiêtokrzyska;1;1;1;1;1;1;1;1;1;1
13;P(1743),1,I,H;ZTM;Œwiêtokrzyska (n/¿);1;;;;;;1;2;1;1
14;P(1734),1,I,H;ZTM;Platynowa;1;;;;;;;;;
15;P(1742);ZTM;Œwiêtokrzyska (n/¿);1;1;2;2;2;1;0;0;0;0
16;P(1316);ZTM;P³ocka;1;1;1;1;1;1;1;1;1;1
17;P(1314);ZTM;Przemyska;1;1;1;1;1;1;1;1;1;1
18;P(1980);ZTM;Wilanowska;1;1;1;1;1;1;1;1;1;1
19;P(1310);ZTM;Cmentarz £ostowicki;2;2;2;2;2;2;2;2;2;2
20;P(1264);ZTM;Emaus;2;2;2;2;2;2;2;2;2;2
21;B,N,K0,P(362);ZTM;Siedlce;1;1;1;1;1;1;1;1;1;1
