512;Flagi;Gmina;Nazwa;X1(00:00-29:59)
1;B,P(1131);ZTM;Sobieszewo Wyspa;0
2;P(1759);ZTM;Falowa (n/¿);1
3;P(1955);ZTM;Sobieszewko Oœrodek (n/¿);2
4;P(1953);ZTM;Sobieszewko (n/¿);1
5;P(1951);ZTM;Wieniecka (n/¿);2
6;P(1947);ZTM;Sobieszewska Pastwa 1 (n/¿);2
7;P(1945);ZTM;Marynarska (n/¿);1
8;P(1943);ZTM;Sobieszewska Pastwa 2 (n/¿);1
9;P(1941);ZTM;Komary (n/¿);3
10;P(1939);ZTM;Dulkowa (n/¿);1
11;P(1937);ZTM;Przegaliñska - Schronisko (n/¿);2
12;B,N,K0,P(143);ZTM;Przegalina;1
