N11;Flagi;Gmina;Nazwa;X1(00:00-29:59);
1;B,P(1021);ZTM;Dworzec G³ówny;0;
2;P(1031);ZTM;Brama Wy¿ynna;2;
3;P(1191);ZTM;RzeŸnicka (n/¿);2;
4;P(1682);ZTM;Dobra (n/¿);1;
5;P(1193);ZTM;Wróbla (n/¿);1;
6;P(1036);ZTM;Ch³odna (n/¿);1;
7;P(1661);ZTM;Akademia Muzyczna (n/¿);1;
8;P(1099);ZTM;Brama ¯u³awska (n/¿);1;
9;P(1718);ZTM;Targowisko (n/¿);1;
10;P(1182);ZTM;Na Szañcach (n/¿);1;
11;B,N,K0,P(137);ZTM;Olszynka - Szko³a;1;
