99;Dni powszednie - okres nauki szkolnej;#EEEEEE
04:38;X8;;
05:22;X8;;
06:05;X9;;
06:25;X9;;
06:45;X9;;
07:23;X9;;
08:28;X10;;
09:34;X10;;
10:34;X10;;
11:34;X9;;
12:34;X10;;
13:21;X9;;
14:36;X11;;
15:36;X12;;
16:36;X11;;
17:36;X11;;
18:36;X11;;
19:33;X9;;
20:33;X10;;
22:11;X8;;
99;Dni powszednie - ferie i wakacje;#EEEEEE
04:38;X8;;
05:22;X8;;
06:05;X9;;
06:45;X9;;
07:23;X9;;
08:28;X10;;
09:34;X10;;
10:34;X10;;
11:34;X9;;
12:34;X10;;
13:21;X9;;
14:36;X11;;
15:36;X12;;
16:36;X11;;
17:36;X11;;
18:36;X11;;
19:33;X13;;
20:33;X14;;
22:11;X8;;
99;Soboty, niedziele i œwiêta;#FFE4E1
04:42;X8;;
05:58;X8;;
07:02;X8;;
08:34;X10;;
10:04;X10;;
11:34;X10;;
13:04;X10;;
14:34;X10;;
16:04;X10;;
18:04;X10;;
19:34;X10;;
20:56;X10;;
22:11;X8;;
