174;Flagi;Gmina;Nazwa;X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59)
1;B,P(129);ZTM;Che³m Witosa;0;0;0;0;0;0;0
2;P(1717);ZTM;Cieszyñskiego;2;2;2;2;2;2;2
3;P(1861);ZTM;Osiedle Jary;2;2;2;2;2;2;2
4;P(1863);ZTM;Rogaliñska;1;1;1;1;1;1;1
5;P(1865);ZTM;P³ocka;1;1;1;1;1;1;1
6;P(1316);ZTM;P³ocka;1;1;1;1;1;1;1
7;P(1981);ZTM;Przemyska;2;2;2;2;2;2;2
8;P(1313);ZTM;Kielecka;1;1;1;1;1;1;1
9;P(168);ZTM;Ujeœcisko;2;2;2;2;2;2;2
10;P(1971);ZTM;Lawendowe Wzgórze;2;3;3;3;3;3;3
11;P(1969);ZTM;Leszczynowa (n/¿);1;1;1;1;1;1;1
12;P(1685);ZTM;Szadó³ki;1;1;1;1;1;1;1
13;P(1852);ZTM;Przywidzka;;;1;2;;;1
14;P(1854);ZTM;Czermiñskiego;;;3;3;;;3
15;P(1687);ZTM;Przywidzka;1;1;1;2;2;1;1
16;P(1803);ZTM;Szadó³ki Obwodnica (n/¿);1;1;1;2;2;1;1
17;P(1805),S;ZTM;Lubowidzka (n/¿);1;1;1;1;1;1;1
18;P(1807);ZTM;Otomin Dziewicza (n/¿);1;1;1;1;1;2;2
19;P(1809);ZTM;Otomin Sarnia;2;2;2;2;2;2;2
20;B,N,K0,P(177);ZTM;Otomin - Pêtla;2;2;2;2;2;2;2
