99;Dni powszednie - okres nauki szkolnej;#EEEEEE
05:02;X0;;
05:48;X1;;
06:38;X2;;
07:24;X3;;
08:18;X3;;
09:03;X4;;
10:07;X4;;
11:07;X3;;
12:03;X4;;
13:12;X3;;
14:12;X4;;
15:16;X5;;
16:15;X6;;
17:18;X6;;
17:38;X5;;
18:18;X5;;
19:14;X6;;
20:18;X7;;
21:14;X0;;
22:35;X1;;
99;Dni powszednie - ferie i wakacje;#EEEEEE
05:02;X0;;
05:48;X1;;
06:38;X3;;
07:24;X3;;
08:18;X3;;
09:03;X4;;
10:07;X4;;
11:07;X3;;
12:03;X4;;
13:12;X3;;
14:12;X4;;
15:16;X5;;
16:15;X6;;
17:18;X6;;
18:18;X5;;
19:14;X6;;
20:18;X7;;
21:14;X0;;
22:35;X1;;
99;Soboty, niedziele i œwiêta;#FFE4E1
05:06;X1;;
06:26;X1;;
07:35;X1;;
09:05;X0;;
10:35;X4;;
12:05;X4;;
13:35;X4;;
15:05;X4;;
16:35;X4;;
18:35;X4;;
20:08;X4;;
21:27;X4;;
22:37;X1;;
