127;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X23(00:00-29:59);X24(00:00-29:59);X25(00:00-29:59);X26(00:00-29:59)
1;B,P(185);ZTM;Jasieñ PKM;;;0;0;0;0;0;0;0;0;0;0;;0;0;0
2;P(1874);ZTM;Jasieñska;;;2;2;2;2;2;2;2;2;2;2;;2;2;2
3;P(1872);ZTM;Staw Wróbla;;;1;1;1;1;1;1;1;1;1;1;;1;1;1
4;P(1850);ZTM;Zacna;;;1;1;1;1;1;1;1;1;2;2;;2;2;2
5;P(1848);ZTM;Wo³kowyska;;;2;2;2;2;2;2;2;2;1;1;;1;1;1
6;P(128);ZTM;Migowo;;;1;2;2;1;1;1;1;1;1;1;;1;1;1
7;P(1376);ZTM;Budapesztañska;;;1;1;2;1;1;1;1;1;1;1;;1;1;1
8;P(1374);ZTM;Warneñska;;;2;2;2;2;2;2;2;1;1;1;;1;1;1
9;P(1372);ZTM;Piecewska;;;2;2;2;2;2;2;2;2;1;1;;1;2;2
10;P(1370);ZTM;Dobrowolskiego;;;1;1;1;1;1;1;1;1;1;1;;1;1;1
11;P(1342);ZTM;Piecki Wileñska;;;1;1;2;1;1;2;1;1;1;1;;1;1;1
12;P(1368);ZTM;Strzelnica (n/¿);;;2;2;2;2;2;2;2;2;2;2;;2;2;2
13;P(1366);ZTM;Falista (n/¿);;;1;1;1;1;1;1;1;1;1;1;;1;1;1
14;P(1364);ZTM;Na Wzgórzu;;;1;1;2;1;1;2;1;1;1;1;;1;1;1
15;P(1362);ZTM;Sobótki (n/¿);;;1;1;2;1;1;2;1;1;1;1;;1;1;1
16;P(1594);ZTM;Dmowskiego;;0;3;3;3;3;3;3;3;3;3;3;;3;3;3
17;P(1634);ZTM;Galeria Ba³tycka;;2;2;2;3;2;3;3;3;2;2;2;;2;2;2
18;P(1441);ZTM;Kiliñskiego;;2;2;3;3;2;3;3;3;2;2;2;;2;2;2
19;P(1754);ZTM;Rozstaje;;3;3;3;3;3;3;3;3;3;3;3;;3;3;3
20;P(1728);ZTM;Skar¿yñskiego;;1;1;1;1;1;1;1;1;1;1;1;;1;1;1
21;P(1752);ZTM;Zaspa SKM;;1;1;2;2;2;2;2;2;1;1;1;;1;1;1
22;P(1482);ZTM;Dywizjonu 303;;2;2;2;2;2;2;2;2;1;1;1;;2;2;2
23;P(1480);ZTM;Rzeczypospolitej;;1;1;1;1;1;1;1;1;1;1;1;;1;1;1
24;P(1478);ZTM;Leszczyñskich;;1;1;1;1;1;1;1;1;1;1;1;;1;1;1
25;P(1447);ZTM;Zaspa - Szpital;;1;1;1;2;1;2;2;2;1;1;1;;1;2;2
26;P(1448),1,I,H;ZTM;Czarny Dwór;;;;;;;;;2;;;2;;;;2
27;P(1476);ZTM;Czarny Dwór;0;2;2;3;3;2;2;3;;2;2;;0;2;3;
28;P(1474);ZTM;Przymorze Wielkie;2;2;2;2;2;2;2;2;;2;2;;2;2;2;
29;P(1472);ZTM;Obroñców Wybrze¿a;1;1;1;1;1;1;1;1;;1;1;;1;1;1;
30;P(1454);ZTM;Bora Komorowskiego;2;2;2;2;2;2;2;2;;1;1;;1;1;2;
31;P(1740);ZTM;Beniowskiego (n/¿);2;2;2;2;2;2;2;2;;2;2;;2;2;2;
32;B,N,K0,P(117);ZTM;Oliwa PKP;1;1;1;1;1;1;1;1;;1;1;;1;1;1;
