F5;Flagi;Gmina;Nazwa;X0(00:00-29:59)
1;B;ZTM;¯abi Kruk;0
2;;ZTM;Zielony Most;12
3;;ZTM;Targ Rybny;11
4;;ZTM;Wiosny Ludów;11
5;;ZTM;Nabrze¿e Zbo¿owe;25
6;;ZTM;Twierdza Wis³oujœcie;7
7;B,N,K0;ZTM;Westerplatte;9
