F5;Flagi;Gmina;Nazwa;X1(00:00-29:59)
1;B;ZTM;Westerplatte;0
2;;ZTM;Twierdza Wis³oujœcie;12
3;;ZTM;Nabrze¿e Zbo¿owe;7
4;;ZTM;Wiosny Ludów;25
5;;ZTM;Targ Rybny;11
6;;ZTM;Zielony Most;11
7;B,N,K0;ZTM;¯abi Kruk;9
