574;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59)
1;B,P(177);ZTM;Otomin - Pêtla;0;0;0;0
2;P(1810);ZTM;Otomin - Sarnia;2;2;2;2
3;P(1808);ZTM;Otomin - Dziewicza (n/¿);2;2;2;2
4;P(1806),S;ZTM;Lubowidzka (n/¿);1;1;1;1
5;P(1804);ZTM;Szadó³ki Obwodnica (n/¿);1;1;1;1
6;P(1852);ZTM;Przywidzka;2;1;;
7;P(1965);ZTM;Czermiñskiego;1;1;;
8;P(1964);ZTM;Rêbowo;1;1;;
9;P(1854);ZTM;Czermiñskiego;2;2;;
10;P(1686);ZTM;Przywidzka;1;1;1;1
11;P(1684);ZTM;Szadó³ki;2;1;1;2
12;P(1968);ZTM;Leszczynowa (n/¿);1;1;1;1
13;P(1970);ZTM;Lawendowe Wzgórze;2;1;1;1
14;P(1308);ZTM;Jab³oniowa (n/¿);1;1;1;1
15;P(1275);ZTM;Damroki;2;2;2;2
16;B,N,K0,P(199);ZTM;Jasieñ - Pólnicy;2;2;2;2
