99;Dni powszednie - okres nauki szkolnej;#EEEEEE
05:02;X7;;
05:40;X8;;
06:40;X9;;
07:50;X9;;
09:05;X10;;
10:05;X10;;
11:05;X11;;
12:05;X11;;
13:04;X11;;
13:45;X12;;
14:45;X13;;
15:55;X13;;
16:55;X13;;
18:05;X11;;
19:05;X11;;
20:05;X14;;
21:05;X14;;
22:05;X14;;
99;Dni powszednie - ferie i wakacje;#EEEEEE
05:02;X7;;
05:40;X8;;
06:40;X9;;
07:50;X9;;
09:05;X10;;
10:05;X10;;
11:05;X11;;
12:05;X11;;
13:04;X11;;
13:45;X12;;
14:45;X13;;
15:55;X13;;
16:55;X13;;
18:05;X11;;
19:05;X11;;
20:05;X14;;
21:05;X14;;
22:05;X14;;
99;Soboty, niedziele i œwiêta;#FFE4E1
06:25;X19;;
07:05;X20;;
08:05;X20;;
09:05;X20;;
10:05;X20;;
11:05;X20;;
12:05;X20;;
13:05;X20;;
14:05;X20;;
15:05;X20;;
16:05;X20;;
17:05;X20;;
18:05;X20;;
19:05;X20;;
20:05;X21;;
21:05;X21;;
22:05;X21;;
