99;Dni powszednie;#EEEEEE
04:34;X0;;
04:44;X0;;
04:54;X0;;
05:01;X1;;
05:00;X2;;
05:20;X2;;
05:30;X0;;
05:40;X2;;
05:48;X0;;
06:03;X2;;
06:17;X3;;
06:32;X3;;
06:49;X0;;
06:47;X4;;
07:02;X4;;
07:17;X4;;
07:32;X4;;
07:47;X4;;
08:02;X4;;
08:18;X3;;
08:38;X3;;
08:58;X3;;
09:18;X5;;
09:38;X5;;
09:58;X5;;
10:18;X5;;
10:38;X5;;
10:58;X5;;
11:18;X5;;
11:38;X5;;
11:58;X5;;
12:18;X5;;
12:38;X5;;
12:58;X5;;
13:07;X0;;
13:20;X6;;
13:40;X6;;
13:52;X0;;
14:00;X7;;
14:14;X7;;
14:29;X7;;
14:36;X0;;
14:44;X7;;
14:59;X7;;
15:14;X7;;
15:29;X7;;
15:44;X7;;
15:59;X7;;
16:14;X7;;
16:29;X7;;
16:44;X7;;
16:59;X7;;
17:14;X6;;
17:24;X8;;
17:38;X6;;
17:58;X6;;
18:18;X6;;
18:38;X6;;
18:58;X6;;
19:18;X6;;
19:38;X6;;
19:58;X2;;
20:18;X9;;
20:38;X9;;
21:13;X9;;
21:43;X9;;
22:13;X10;;
22:43;X11;;
22:54;X11;;
99;Soboty;#E6E6FA
04:38;X23;;
04:53;X10;;
05:03;X23;;
05:13;X10;;
05:43;X24;;
06:13;X24;;
06:43;X25;;
07:07;X0;;
07:06;X25;;
07:26;X25;;
07:46;X25;;
08:06;X25;;
08:26;X25;;
08:46;X25;;
09:06;X25;;
09:26;X25;;
09:46;X25;;
10:06;X25;;
10:26;X25;;
10:46;X25;;
11:06;X25;;
11:26;X25;;
11:46;X25;;
12:06;X25;;
12:26;X25;;
12:46;X25;;
13:06;X25;;
13:26;X25;;
13:46;X25;;
14:06;X25;;
14:26;X25;;
14:46;X25;;
15:06;X25;;
15:26;X25;;
15:46;X25;;
16:06;X25;;
16:26;X25;;
16:46;X25;;
17:06;X25;;
17:26;X25;;
17:46;X25;;
18:06;X25;;
18:26;X25;;
18:46;X25;;
19:06;X25;;
19:26;X25;;
19:46;X25;;
20:03;X26;;
20:13;X25;;
20:43;X25;;
21:13;X24;;
21:43;X10;;
22:13;X10;;
22:43;X11;;
22:54;X11;;
99;Niedziele i œwiêta;#FFE4E1
04:38;X23;;
04:53;X10;;
05:03;X23;;
05:13;X10;;
05:43;X24;;
06:13;X24;;
06:43;X24;;
07:13;X24;;
07:42;X25;;
08:12;X25;;
08:42;X25;;
09:12;X25;;
09:42;X25;;
10:12;X25;;
10:37;X0;;
10:42;X25;;
11:06;X25;;
11:26;X25;;
11:46;X25;;
12:06;X25;;
12:26;X25;;
12:46;X25;;
13:06;X25;;
13:26;X25;;
13:46;X25;;
14:06;X25;;
14:26;X25;;
14:46;X25;;
15:06;X25;;
15:26;X25;;
15:46;X25;;
16:06;X25;;
16:26;X25;;
16:46;X25;;
17:06;X25;;
17:26;X25;;
17:46;X25;;
18:06;X25;;
18:26;X25;;
18:46;X25;;
19:06;X25;;
19:26;X25;;
19:46;X25;;
20:03;X26;;
20:13;X25;;
20:43;X25;;
21:13;X24;;
21:43;X10;;
22:13;X10;;
22:43;X11;;
22:54;X11;;
