262;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);
1;B,P(195);ZTM;Jaworzniaków;0;0;0;
2;P(1959);ZTM;Elfów;1;1;1;
3;P(1957);ZTM;Osiedle Œwiêtokrzyskie (n/¿);1;1;1;
4;P(1790);ZTM;Wie¿ycka;2;2;2;
5;P(1320);ZTM;Niepo³omicka;1;2;2;
6;P(1318);ZTM;£ódzka (n/¿);2;2;2;
7;P(390);ZTM;£ostowice Œwiêtokrzyska;1;1;1;
8;P(1742);ZTM;Œwiêtokrzyska (n/¿);2;2;2;
9;P(1866);ZTM;P³ocka;1;1;1;
10;P(1864);ZTM;Rogaliñska;1;1;1;
11;P(1862);ZTM;Osiedle Jary;1;1;1;
12;P(1980);ZTM;Wilanowska;2;2;2;
13;P(1310);ZTM;Cmentarz £ostowicki;2;2;2;
14;P(1633);ZTM;Emaus;2;3;3;
15;P(1723);ZTM;Piekarnicza;2;2;2;
16;P(1372);ZTM;Piecewska;2;2;2;
17;P(1370);ZTM;Dobrowolskiego;1;1;1;
18;P(1368);ZTM;Strzelnica (n/¿);1;1;1;
19;P(1366);ZTM;Falista (n/¿);1;1;1;
20;P(1364);ZTM;Na Wzgórzu;1;2;1;
21;P(1362);ZTM;Sobótki (n/¿);1;2;1;
22;P(1776);ZTM;Grunwaldzka;3;3;3;
23;B,N,K0,P(314);ZTM;Wrzeszcz PKP;2;2;2;
