155;Flagi;Gmina;Nazwa;X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);
1;B,P(191);ZTM;£ostowice Œwiêtokrzyska;0;0;0;
2;P(1319);ZTM;£ódzka (n/¿);1;1;2;
3;P(1321);ZTM;Niepo³omicka;2;2;2;
4;P(1789);ZTM;Wie¿ycka;1;2;2;
5;P(1958);ZTM;Osiedle Œwiêtokrzyskie;2;2;2;
6;P(1960);ZTM;Elfów;1;1;1;
7;B,N,K0,P(195);ZTM;Jaworzniaków;1;1;1;
