99;Dni powszednie;#EEEEEE
05:15;X0;
05:45;X0;
06:13;X1;
06:45;X1;
07:15;X2;
07:45;X2;
08:15;X2;
09:00;X2;
09:40;X2;
10:40;X2;
11:40;X2;
12:40;X2;
13:40;X2;
14:18;X2;
14:48;X2;
15:18;X2;
15:48;X2;
16:18;X2;
16:48;X2;
17:18;X2;
17:58;X2;
18:35;X2;
19:14;X0;
19:54;X0;
20:27;X0;
21:27;X0;
22:27;X0;
22:58;X3;
99;Soboty;#E6E6FA
05:28;X0;
06:28;X0;
07:28;X0;
08:28;X0;
09:28;X0;
10:28;X0;
11:28;X2;
12:28;X2;
13:28;X2;
14:28;X2;
15:28;X2;
16:28;X2;
17:28;X2;
18:28;X2;
19:28;X0;
20:28;X0;
21:28;X0;
22:26;X0;
99;Niedziele i œwiêta;#FFE4E1
05:28;X0;
06:28;X0;
07:28;X0;
08:28;X0;
09:28;X0;
10:28;X0;
11:28;X2;
12:28;X2;
13:28;X2;
14:28;X2;
15:28;X2;
16:28;X2;
17:28;X2;
18:28;X2;
19:28;X0;
20:28;X0;
21:28;X0;
22:26;X0;
