116;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);
1;B,P(150);ZTM;Matemblewo;0;0;0;0;
2;P(1736);ZTM;Karskiego;2;2;2;2;
3;P(1438);ZTM;Potokowa - Matemblewska (n/¿);1;1;1;1;
4;P(1436);ZTM;Dolne M³yny (n/¿);1;1;1;1;
5;P(1378n);ZTM;Brêtowo PKM;2;2;2;2;
6;P(1434);ZTM;Ogrodowa (n/¿);1;1;1;1;
7;P(1390);ZTM;Potokowa;1;1;1;1;
8;P(1388);ZTM;Trawki (n/¿);1;2;2;2;
9;P(1386);ZTM;Srebrniki;1;1;1;1;
10;P(1922);ZTM;Zabytkowa;2;2;2;2;
11;P(1382);ZTM;Galeria Ba³tycka;2;3;3;2;
12;B,N,K0,P(313);ZTM;Wrzeszcz PKP;1;1;2;1;
