136;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);
1;B,P(153);ZTM;Niedüwiednik;0;0;0;0;
2;P(1440);ZTM;Podkarpacka;1;1;1;1;
3;P(1390);ZTM;Potokowa;2;2;2;2;
4;P(1388);ZTM;Trawki (n/ø);2;2;2;2;
5;P(1386);ZTM;Srebrniki;1;1;1;1;
6;P(1922);ZTM;Zabytkowa;2;2;2;2;
7;P(1382);ZTM;Galeria Ba≥tycka;2;3;3;2;
8;B,N,K0,P(313);ZTM;Wrzeszcz PKP;1;1;2;;
