118;Flagi;Gmina;Nazwa;X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59)
1;B,P(1015);ZTM;Dworzec G³ówny;0;0;0;0;0
2;P(1033);ZTM;Brama Wy¿ynna;2;2;2;2;2
3;P(1237);ZTM;Zaroœlak;3;3;3;4;3
4;P(1821);ZTM;Cmentarna (n/¿);1;1;1;1;1
5;P(1239);ZTM;Stoczniowców (n/¿);1;1;1;1;1
6;P(1241);ZTM;Wronki;1;1;1;1;1
7;P(134);ZTM;Che³m Cienista;2;2;2;2;2
8;P(1753);ZTM;Che³m Witosa;1;2;2;2;2
9;P(1717);ZTM;Cieszyñskiego;2;2;2;2;2
10;P(1861);ZTM;Osiedle Jary;2;3;2;3;2
11;P(1863);ZTM;Rogaliñska;1;1;1;1;1
12;P(1865);ZTM;P³ocka;1;1;1;1;1
13;P(1316);ZTM;P³ocka;1;1;1;1;1
14;P(1981);ZTM;Przemyska;2;2;2;2;2
15;P(1313);ZTM;Kielecka;1;1;1;2;1
16;P(1983);ZTM;Ujeœcisko;1;2;2;2;1
17;B,N,K0,P(1985);ZTM;Jeleniogórska;1;1;1;1;1
