199;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);
1;B,P(151);ZTM;Suchanino;;;0;0;0;0;
2;P(1340);ZTM;Nad Jarem - Zakosy;;;1;1;1;1;
3;P(1335);ZTM;Wagnera;;;2;2;2;2;
4;P(1337);ZTM;Otwarta;;;1;1;1;1;
5;P(1339);ZTM;Kurpiñskiego;;;1;1;1;1;
6;P(1360);ZTM;Schuberta;;;1;2;2;2;
7;P(1358);ZTM;Schumana;;;1;1;1;1;
8;P(1356);ZTM;Pomorskie Szko³y Rzemios³;;;1;1;1;1;
9;P(1354);ZTM;Jarowa;;;1;1;1;1;
10;P(1352);ZTM;Krêta;;;1;1;1;1;
11;P(1350);ZTM;Traugutta - Sobieskiego;;;1;1;1;1;
12;P(1348);ZTM;Uphagena;;;2;2;3;3;
13;P(116);ZTM;Wrzeszcz PKP;;0;2;2;3;3;
14;P(1636);ZTM;Galeria Ba³tycka;;2;2;2;2;2;
15;P(1796);ZTM;Wojska Polskiego;;2;2;2;2;2;
16;P(1794);ZTM;Abrahama;;1;1;2;2;2;
17;P(1678);ZTM;Biblioteka G³ówna UG;;1;1;1;1;1;
18;P(1792);ZTM;Przymorze SKM;;2;2;2;2;3;
19;P(1470);ZTM;Krynicka;;2;2;2;2;2;
20;P(1468);ZTM;Rzeczypospolitej - Ko³obrzeska;;2;2;2;2;2;
21;P(1466);ZTM;Opolska;;1;1;1;1;1;
22;P(1464);ZTM;Olsztyñska;;1;1;1;1;1;
23;P(1462);ZTM;D¹browszczaków - Obroñców Wybrze¿a;;1;1;1;1;1;
24;P(1460);ZTM;D¹browszczaków;0;1;1;2;2;2;
25;P(1458);ZTM;Jagielloñska - Przychodnia;1;1;1;1;1;1;
26;P(1456);ZTM;Czerwony Dwór;1;1;1;2;2;2;
27;P(1454);ZTM;Bora Komorowskiego;1;1;1;1;1;1;
28;P(1740);ZTM;Beniowskiego (n/¿);2;2;2;2;2;2;
29;B,N,K0,P(118);ZTM;Oliwa PKP;1;1;1;1;1;1;
