267;Flagi;Gmina;Nazwa;X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);
1;B,P(162);ZTM;Siedlce;0;0;0;
2;P(1635);ZTM;Emaus;2;2;1;
3;P(1267);ZTM;Zielony Stok;1;1;1;
4;P(1269);ZTM;Pagórkowa;1;1;1;
5;P(1271);ZTM;Myœliwska;2;2;2;
6;P(1273);ZTM;Lipowa;1;2;1;
7;P(1275);ZTM;Damroki;2;2;2;
8;P(1295);ZTM;Pólnicy;0;1;0;
9;P(1277);ZTM;Zwierzyniecka;1;1;1;
10;P(1283);ZTM;Karczemki;4;5;4;
11;P(1285);ZTM;In¿ynierska (n/¿);1;2;1;
12;P(1287);ZTM;Fabryczna;1;1;1;
13;P(1289);ZTM;Transportowców;1;1;1;
14;P(1413);ZTM;Nowatorów;1;2;1;
15;P(1909);ZTM;Zbie¿na;0;0;0;
16;P(1415);ZTM;Rakietowa (n/¿);1;1;1;
17;P(1417);ZTM;Kosmonautów (n/¿);1;1;1;
18;P(1751);ZTM;POD - Lotnisko III (n/¿);1;1;1;
19;B,N,K0,P(147);ZTM;Bysewo;1;1;1;
