210;Flagi;Gmina;Nazwa;X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X15(00:00-29:59);X16(00:00-29:59);X17(00:00-29:59);X18(00:00-29:59);X19(00:00-29:59);X20(00:00-29:59);X21(00:00-29:59);X22(00:00-29:59);X23(00:00-29:59);X28(00:00-29:59);X29(00:00-29:59)
1;B,P(1210);ZTM;Goœcinna;;0;;0;0;0;0;0;0;0;0;0;0;0
2;P(1208);ZTM;Rejtana;;1;;2;2;2;2;2;2;1;1;1;1;1
3;P(1206);ZTM;Sandomierska;;2;;2;2;2;2;2;2;2;1;1;2;2
4;P(1200);ZTM;Zaroœlak (n/¿);;2;;2;4;6;4;3;4;2;2;2;2;2
5;P(1030);ZTM;Brama Wy¿ynna;;2;;3;3;3;3;3;3;3;3;3;3;3
6;P(1014);ZTM;Dworzec G³ówny;;2;;2;3;3;3;3;3;2;2;2;2;2
7;P(1331);ZTM;P³owce;;5;;6;6;6;6;6;6;6;5;;5;6
8;P(1333);ZTM;Cygañska Góra;;2;;2;2;2;2;2;2;2;2;;2;2
9;P(1335);ZTM;Wagnera;;1;;1;1;1;1;1;1;1;1;;1;1
10;P(1337);ZTM;Otwarta;;1;;1;1;1;1;1;1;1;1;;1;1
11;P(1339);ZTM;Kurpiñskiego;;1;;1;1;1;1;1;1;1;1;;1;1
12;P(1369);ZTM;Piecewska;;3;;3;3;3;3;3;3;3;3;;3;3
13;P(1371);ZTM;Warneñska;;1;;1;1;1;1;1;1;1;1;;1;1
14;P(1380);ZTM;Kolumba;;1;;1;1;1;1;1;1;1;1;;1;1
15;P(1378);ZTM;Brêtowo PKM;;1;;1;1;1;1;1;2;1;1;;1;1
16;P(1391);ZTM;Potokowa;0;2;;2;3;3;3;3;3;3;2;;2;2
17;P(1397);ZTM;Z³ota Karczma;5;5;;5;6;6;6;6;6;6;5;;5;6
18;P(1399);ZTM;Agrarna;2;2;;2;2;2;2;2;2;2;1;;1;1
19;P(1401);ZTM;Astronautów;1;1;;1;1;1;1;1;1;1;1;;1;1
20;P(1403);ZTM;Szybowcowa;2;2;;2;2;2;2;2;2;2;2;;2;2
21;P(1733);ZTM;Firoga (n/¿);1;1;;1;1;1;1;1;1;1;1;;1;1
22;P(101),1,I,H;ZTM;Port Lotniczy;3;;;;;;;;;;;;;
23;P(103);ZTM;Port Lotniczy;;3;;3;3;3;3;3;3;3;3;;3;3
24;P(1406),1,I;ZTM;BCB Azymutalna;;;;;4;;;;;;;;;
25;P(1747);ZTM;Spadochroniarzy;;2;;2;1;3;3;3;3;3;2;;2;2
26;P(1749);ZTM;Radiowa (n/¿);;1;;1;1;1;1;1;1;1;1;;1;1
27;P(1888);ZTM;Ikara;;1;;1;1;1;1;1;1;1;1;;1;1
28;P(1906);ZTM;Telewizyjna (n/¿);;2;;2;2;2;2;2;2;2;2;;2;2
29;P(1904);ZTM;Meteorytowa (n/¿);;4;;4;4;4;4;4;4;4;4;;4;4
30;P(1886);ZTM;Owczarnia;;1;;1;1;1;1;1;1;1;1;;1;1
31;P(1884);ZTM;Marsa;;2;;2;2;2;2;2;2;2;2;;2;2
32;P(1638);ZTM;Jednoro¿ca;;1;;1;1;1;1;1;1;1;1;;1;1
33;P(1511);ZTM;Sopocka;;2;0;2;3;3;3;3;3;2;2;;2;2
34;P(1513);ZTM;Nowa;;1;1;1;1;1;1;1;1;1;1;;1;1
35;P(1515);ZTM;Barniewicka;;1;1;1;1;1;1;1;1;1;1;;1;1
36;P(1517);ZTM;Niedzia³kowskiego;;1;1;1;1;1;1;1;1;1;1;;1;1
37;P(1519);ZTM;Biwakowa;;1;1;1;1;1;1;1;1;1;1;;1;1
38;B,N,K0,P(161);ZTM;Osowa PKP;;1;1;1;1;1;1;1;1;1;1;;1;1
