5;Flagi;Gmina;Nazwa;X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59)
1;B,P(2169),1,I,H;ZTM;W³adys³awa IV;;;;;0
2;B,P(209);ZTM;Nowy Port (Oliwska);0;0;0;0;1
3;P(2200);ZTM;Przychodnia;0;0;0;0;
4;P(2198);ZTM;Rybo³owców;1;1;1;1;
5;P(2196);ZTM;Kasztanowa;1;1;1;1;
6;P(2194);ZTM;Latarnia Morska;1;1;1;1;
7;P(2192);ZTM;Krasickiego;3;3;3;3;
8;P(2190);ZTM;BrzeŸno;1;1;1;1;
9;P(2188);ZTM;Mazurska;1;1;1;1;
10;P(2186);ZTM;Wczasy;1;1;1;1;
11;P(2184);ZTM;Dworska;2;2;2;2;
12;P(2178);ZTM;al. Hallera;1;1;1;1;
13;P(2176);ZTM;Grudzi¹dzka;2;2;2;1;
14;P(2174);ZTM;Kolonia Uroda;1;1;1;1;
15;P(2172);ZTM;Koœciuszki;2;2;2;2;
16;P(2076);ZTM;Mickiewicza;1;1;1;1;
17;P(2074);ZTM;Reja;1;1;1;1;
18;P(2072);ZTM;Wyspiañskiego;2;2;2;2;
19;P(2017);ZTM;Politechnika;3;4;2;2;
20;P(2019);ZTM;Miszewskiego;1;1;1;1;
21;P(2021);ZTM;Jaœkowa Dolina;2;2;2;1;
22;P(2023);ZTM;Klonowa;1;2;1;1;
23;P(2025);ZTM;Galeria Ba³tycka;2;2;2;2;
24;P(2027);ZTM;Wojska Polskiego;2;2;2;2;
25;P(2029);ZTM;Zamenhofa;1;1;1;1;
26;P(2031);ZTM;Zajezdnia;1;1;1;1;
27;B,N,K0,P(213);ZTM;Strzy¿a PKM;1;1;1;1;
