110;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);
1;B,P(103);ZTM;Port Lotniczy;0;0;0;0;
2;P(1404);ZTM;Firoga (n/¿);3;3;3;3;
3;P(1402);ZTM;Szybowcowa;1;1;1;1;
4;P(1400);ZTM;Astronautów;1;1;1;1;
5;P(1398);ZTM;Agrarna;2;2;2;1;
6;P(1610);ZTM;Wiolinowa;2;2;2;2;
7;P(1612);ZTM;Osiedle Z³ota Karczma;2;2;2;2;
8;P(1802);ZTM;Wiolinowa;1;1;1;1;
9;P(1396);ZTM;Z³ota Karczma;1;1;1;1;
10;P(1394);ZTM;S³owackiego - Dzia³ki (n/¿);3;3;3;3;
11;P(1390);ZTM;Potokowa;2;2;2;2;
12;P(1926);ZTM;Trawki (n/¿);1;1;1;1;
13;P(1924);ZTM;Srebrzysko;1;1;1;1;
14;P(1922);ZTM;Zabytkowa;1;1;1;1;
15;P(1382);ZTM;Galeria Ba³tycka;2;3;3;2;
16;B,N,K0,P(313);ZTM;Wrzeszcz PKP;1;1;2;1;
