99;Dni powszednie;#EEEEEE
04:06;X16;N;
04:18;X17;N;
04:18;X18;;
04:36;X19;N;
04:56;X20;;
05:16;X21;N;
05:16;X20;;
05:35;X22;;
05:31;X23;;
05:40;X24;N;
05:50;X23;N;
06:00;X24;N;
06:10;X23;N;
06:20;X24;N;
06:30;X23;;
06:40;X24;N;
06:50;X23;;
07:00;X24;N;
07:10;X23;;
07:20;X24;N;
07:30;X23;;
07:40;X23;;
07:50;X23;;
08:00;X24;N;
08:15;X23;N;
08:27;X23;N;
08:35;X23;N;
08:47;X24;N;
08:55;X23;;
09:07;X24;N;
09:15;X23;;
09:27;X24;N;
09:35;X23;;
09:47;X24;N;
09:55;X23;;
10:07;X24;;
10:15;X23;;
10:27;X24;N;
10:35;X23;N;
10:47;X24;N;
10:55;X23;;
11:07;X24;N;
11:15;X23;N;
11:27;X24;;
11:35;X23;N;
11:47;X24;;
11:55;X23;N;
12:07;X24;;
12:15;X23;N;
12:27;X24;;
12:35;X23;;
12:47;X24;;
12:55;X23;N;
13:07;X23;N;
13:15;X24;N;
13:30;X23;;
13:40;X24;N;
13:50;X23;N;
14:00;X24;;
14:10;X23;N;
14:20;X24;;
14:30;X23;N;
14:40;X24;;
14:50;X23;N;
15:00;X24;;
15:10;X23;;
15:20;X24;N;
15:30;X23;N;
15:40;X24;N;
15:50;X23;;
16:00;X24;N;
16:10;X23;N;
16:20;X23;;
16:30;X23;N;
16:40;X23;;
16:50;X23;N;
17:00;X23;;
17:10;X25;;
17:15;X23;N;
17:35;X23;;
17:55;X23;N;
18:15;X23;;
18:35;X23;N;
18:55;X23;;
19:15;X23;;
19:36;X19;N;
19:56;X19;N;
20:16;X19;;
20:43;X26;;
20:47;X27;N;
21:13;X28;;
21:43;X28;;
22:13;X29;N;
22:43;X29;;
22:53;X30;;
23:23;X30;;
99;Soboty;#E6E6FA
04:16;X33;;
04:23;X34;;
04:43;X35;;
05:13;X35;;
05:33;X34;N;
05:43;X35;;
06:13;X35;;
06:35;X36;;
06:55;X36;N;
07:15;X36;;
07:35;X36;;
07:55;X36;N;
08:15;X36;;
08:35;X36;;
08:55;X36;;
09:15;X36;;
09:35;X36;N;
09:55;X36;;
10:15;X36;;
10:35;X36;N;
10:55;X36;;
11:15;X36;;
11:35;X36;;
11:55;X36;;
12:15;X36;N;
12:35;X36;;
12:55;X36;;
13:15;X36;N;
13:35;X36;;
13:55;X36;;
14:15;X36;;
14:35;X36;;
14:55;X36;N;
15:15;X36;;
15:35;X36;;
15:55;X36;N;
16:15;X36;;
16:35;X36;;
16:55;X36;;
17:15;X36;;
17:35;X36;N;
17:55;X36;;
18:15;X36;;
18:35;X36;N;
18:55;X36;;
19:15;X36;;
19:35;X36;;
19:55;X37;;
20:15;X36;N;
20:21;X25;;
20:43;X35;;
20:48;X38;N;
21:13;X39;;
21:43;X39;;
22:13;X40;;
22:43;X40;N;
22:52;X30;;
23:22;X30;;
99;Niedziele i œwiêta;#FFE4E1
04:16;X33;;
04:23;X34;;
04:43;X35;;
05:13;X35;;
05:43;X35;N;
06:13;X35;;
06:43;X35;;
07:13;X35;;
07:43;X35;;
08:13;X35;N;
08:33;X34;;
08:43;X35;;
09:13;X35;;
09:35;X36;N;
09:55;X36;;
10:15;X36;;
10:35;X36;N;
10:55;X36;;
11:15;X36;;
11:35;X36;;
11:55;X36;;
12:15;X36;N;
12:35;X36;;
12:55;X36;;
13:15;X36;N;
13:35;X36;;
13:55;X36;;
14:15;X36;;
14:35;X36;;
14:55;X36;N;
15:15;X36;;
15:35;X36;;
15:55;X36;N;
16:15;X36;;
16:35;X36;;
16:55;X36;;
17:15;X36;;
17:35;X36;N;
17:55;X36;;
18:15;X36;;
18:35;X36;N;
18:55;X36;;
19:15;X36;;
19:35;X36;;
19:55;X37;;
20:15;X36;N;
20:21;X25;;
20:43;X35;;
20:48;X38;N;
21:13;X39;;
21:43;X39;;
22:13;X40;;
22:43;X41;N;
22:52;X30;;
23:22;X30;;
