955;Flagi;Gmina;Nazwa;X1(00:00-29:59);
1;B,P(185);ZTM;JasieÒ PKM;0;
2;P(1873);ZTM;JasieÒska;2;
3;P(1294);ZTM;Gronostajowa;2;
4;P(1258);ZTM;èrÛdlana (n/ø);1;
5;P(1276);ZTM;Zwierzyniecka;1;
6;B,N,K0,P(199);ZTM;JasieÒ - PÛlnicy;2;
