115;Flagi;Gmina;Nazwa;X4(00:00-29:59);X5(00:00-29:59);
1;B,P(115);ZTM;Wrzeszcz PKP;0;0;
2;P(1593);ZTM;Jaœkowa Dolina;3;3;
3;P(1347);ZTM;Matejki;2;2;
4;P(1349);ZTM;Traugutta - Sobieskiego;2;2;
5;P(1351);ZTM;Krêta;1;2;
6;P(1353);ZTM;Jarowa;1;1;
7;P(1355);ZTM;Pomorskie Szko³y Rzemios³;1;1;
8;P(1357);ZTM;Schumana;1;1;
9;P(1359);ZTM;Schuberta;1;1;
10;P(1338);ZTM;Kurpiñskiego;2;2;
11;P(1336);ZTM;Otwarta;1;1;
12;P(1334);ZTM;Wagnera;2;2;
13;P(1332);ZTM;Cygañska Góra;2;2;
14;P(1880);ZTM;Focha (n/¿);1;1;
15;P(1330);ZTM;P³owce;1;1;
16;P(1328);ZTM;Bema;1;1;
17;P(1260);ZTM;Urz¹d Miejski;2;2;
18;B,N,K0,P(9135);ZTM;Dworzec PKS;3;3;
