129;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);
1;B,P(185);ZTM;Jasieñ PKM;0;0;0;0;
2;P(1874);ZTM;Jasieñska;2;2;1;2;
3;P(1872);ZTM;Staw Wróbla;1;1;1;1;
4;P(1850);ZTM;Zacna;1;1;1;1;
5;P(1848);ZTM;Wo³kowyska;2;2;2;2;
6;P(128);ZTM;Migowo;1;2;2;1;
7;P(1376);ZTM;Budapesztañska;1;1;2;1;
8;P(1374);ZTM;Warneñska;2;2;2;2;
9;P(1372);ZTM;Piecewska;2;2;2;2;
10;P(1370);ZTM;Dobrowolskiego;1;1;1;1;
11;P(1368);ZTM;Strzelnica (n/¿);1;1;1;1;
12;P(1366);ZTM;Falista (n/¿);1;1;1;1;
13;P(1364);ZTM;Na Wzgórzu;1;1;2;2;
14;P(1362);ZTM;Sobótki (n/¿);1;1;2;2;
15;P(1776);ZTM;Grunwaldzka;3;3;3;3;
16;B,N,K0,P(314);ZTM;Wrzeszcz PKP;2;2;2;2;
